# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
time_s,rpm,height_m
-4.7465,138.3,0.0000
-2.3046,138.3,0.0000
-2.2977,138.3,0.0000
-2.1916,123.3,0.0000
-2.1901,122.9,0.0000
-2.1877,122.3,0.0000
-2.1710,117.7,0.0000
-2.1695,117.3,0.0000
-2.0035,82.5,0.0000
-1.9866,80.0,0.0000
-1.9780,78.7,0.0000
-1.9749,78.2,0.0000
-1.7299,46.4,0.0000
-1.7234,47.5,0.0000
-1.7194,48.3,0.0000
-1.6405,62.4,0.0000
-1.4904,89.7,0.0000
-1.2177,122.6,0.0000
-1.1161,136.4,0.0000
-1.1068,138.2,0.0000
-1.1052,138.5,0.0000
-1.0094,153.2,0.0000
-1.0052,153.7,0.0000
-0.9232,166.2,0.0000
-0.9187,167.0,0.0000
-0.8365,176.0,0.0000
-0.7576,190.0,0.0000
-0.7562,190.5,0.0000
-0.6852,203.6,0.0000
-0.6839,203.6,0.0000
-0.6814,203.8,0.0000
-0.6087,204.6,0.0000
-0.5357,211.8,0.0000
-0.5332,212.4,0.0000
-0.3448,241.0,0.0000
-0.3384,242.9,0.0000
-0.2835,250.2,0.0000
-0.2812,250.3,0.0000
-0.2775,250.3,0.0000
-0.2206,254.7,0.0000
-0.2162,255.2,0.0000
-0.0024,280.4,0.0000
0.0000,280.6,0.0000
0.0015,280.8,0.0098
0.0037,281.0,0.0178
0.1056,298.8,0.0230
0.1545,300.3,0.0240
0.1966,312.6,0.0198
0.1999,313.9,0.0198
0.2488,318.6,0.0198
0.4320,336.9,0.0055
0.4345,336.9,0.0125
0.5144,353.9,0.0291
0.5159,354.1,0.0523
0.5203,354.7,0.0792
0.5986,359.1,0.1209
0.6395,363.6,0.1423
0.6811,377.8,0.1444
0.6833,378.9,0.1280
0.7216,378.8,0.0942
0.7604,378.7,0.0438
0.8010,386.8,0.0139
0.8778,395.4,0.0000
0.9115,403.6,0.0000
0.9141,404.4,0.0000
0.9155,404.9,0.0000
0.9179,405.6,0.0000
0.9479,406.8,0.0000
0.9508,406.7,0.0000
0.9522,406.7,0.0000
0.9539,406.7,0.0000
0.9555,406.6,0.0000
0.9914,408.9,0.0000
1.0243,415.2,0.0000
1.0558,423.9,0.0000
1.2006,440.7,0.0000
1.2322,442.1,0.0000
1.2363,442.1,0.0000
1.2389,442.0,0.0000
1.2656,431.9,0.0000
1.3004,451.4,0.0000
1.3349,469.2,0.0000
1.3647,455.1,0.0000
1.3661,454.2,0.0000
1.4351,470.8,0.0000
1.4648,471.6,0.0165
1.4928,472.0,0.0266
1.5266,481.4,0.0300
1.5280,481.9,0.0266
1.5571,487.6,0.0165
1.6524,478.1,0.0000
1.6542,477.3,0.0000
1.6808,510.3,0.0000
1.6833,513.7,0.0000
1.7088,512.3,0.0000
1.7676,519.5,0.0000
1.7716,524.0,0.0000
1.7947,517.1,0.0000
1.8258,497.0,0.0000
1.8313,493.1,0.0000
1.8547,537.5,0.0000
1.8613,547.3,0.0000
1.8875,520.5,0.0000
1.9095,531.9,0.0000
1.9132,534.3,0.0000
1.9463,533.2,0.0000
1.9984,539.0,0.0000
2.0026,539.8,0.0000
2.0233,542.4,0.0000
2.0529,549.1,0.0000
2.0583,548.4,0.0000
2.0825,534.5,0.0000
2.0851,535.2,0.0000
2.1336,558.9,0.0000
2.1898,550.4,0.0000
2.2139,566.2,0.0213
2.2162,567.9,0.0483
2.2380,580.1,0.0738
2.2446,582.6,0.0947
2.2669,575.1,0.1080
2.2905,574.7,0.1107
2.2929,574.8,0.0998
2.3161,578.6,0.0998
2.3176,578.9,0.0998
2.3199,579.3,0.0998
2.3240,579.7,0.0998
2.3741,592.6,0.0998
2.3939,588.8,0.0998
2.3964,588.3,0.1065
2.4010,588.3,0.1048
2.4208,591.1,0.1008
2.4508,600.7,0.0869
2.4533,600.5,0.0661
2.5220,603.5,0.0415
2.5272,608.4,0.0160
2.5453,630.4,0.0000
2.5710,752.6,0.0000
2.5974,958.0,0.0000
2.6048,1016.1,0.0000
2.6205,1134.0,0.0000
2.6946,1718.8,0.0000
2.7289,1921.5,0.0000
2.8636,2755.8,0.0000
2.8931,3133.8,0.0000
2.9024,3107.8,0.0000
3.1054,4367.2,0.0000
3.1505,3607.9,0.0000
3.3996,3640.9,0.0000
3.4873,3513.7,0.0000
3.5161,4546.4,0.0459
3.6777,4519.4,0.1166
3.7192,4122.4,0.1911
3.8604,2602.4,0.2609
4.0280,4430.2,0.3117
4.1873,3416.3,0.3485
4.3102,2906.1,0.3611
4.3277,2646.5,0.3380
4.3352,1776.8,0.3531
4.5498,4281.6,0.3992
4.6401,4405.5,0.4181
4.7137,4515.2,0.4267
4.7615,4264.7,0.3984
4.8333,1747.7,0.3404
5.1742,4551.0,0.2599
5.2757,3415.8,0.1790
5.2969,3513.6,0.1006
5.4135,4484.0,0.0336
5.5439,2972.0,0.0018
5.6160,4286.6,0.0097
5.7660,4182.1,0.0064
5.7675,3713.9,0.0198
5.8940,3879.5,0.0198
6.1700,4420.6,0.0198
6.4497,2682.9,0.0198
6.5543,3797.8,0.0198
6.7072,3213.2,0.0064
6.8216,4430.6,0.0257
6.9423,4501.0,0.0381
7.1067,4540.7,0.0444
7.2986,4396.8,0.0451
8.3388,4891.3,0.0411
8.4543,3461.1,0.0330
8.4558,2972.1,0.0216
8.5140,4172.8,0.0074
8.7424,3667.4,0.0000
8.8319,4396.3,0.0000
8.8656,4472.6,0.0000
9.0512,2604.3,0.0000
9.2402,3842.0,0.0000
9.2545,2916.8,0.0000
9.3061,2922.0,0.0000
9.4780,3558.7,0.0000
9.5468,3447.3,0.0000
9.5832,3267.1,0.0009
9.5858,3316.6,0.0459
9.6012,3123.5,0.1008
9.6394,1765.2,0.1589
9.6624,3289.1,0.2137
9.6639,3260.7,0.2587
9.6873,3019.1,0.2874
9.6919,3131.2,0.2933
9.7126,3243.0,0.2698
9.7141,3229.6,0.2656
9.7194,3127.6,0.2667
9.7219,3171.6,0.2718
9.7335,3036.4,0.2798
9.7580,2414.7,0.2896
9.7656,1589.1,0.3000
9.7671,1588.3,0.3073
9.7834,2068.8,0.3117
9.7994,2594.4,0.3202
9.8096,2521.6,0.3314
9.8192,1565.4,0.3396
9.8311,3077.4,0.3562
9.8326,3101.2,0.3754
9.8510,3091.5,0.3970
9.8656,3117.3,0.4229
9.8712,3307.3,0.4433
9.8761,3321.5,0.4078
9.8799,3243.9,0.4442
9.8876,3090.0,0.5405
9.8911,3017.9,0.6746
9.8956,2927.4,0.8265
9.8975,2889.2,0.9868
9.9014,2811.6,1.1382
9.9075,2688.5,1.2650
9.9099,2638.6,1.3512
9.9131,2575.2,1.3752
9.9355,2123.2,1.3305
9.9416,1999.4,1.3387
9.9446,1939.1,1.3379
9.9529,1771.0,1.3375
9.9615,1599.2,1.3418
9.9933,956.3,1.3501
10.0018,785.7,1.3657
10.0052,716.2,1.3810
10.0146,525.9,1.3994
10.0173,472.3,1.4248
10.0198,422.4,1.4525
10.0213,391.6,1.4779
10.0340,136.1,1.4963
10.0416,3944.5,1.5158
10.0461,3464.9,1.4778
10.0529,2751.8,1.4996
10.0666,1325.8,1.5717
10.0681,1162.7,1.6739
10.0737,580.7,1.7960
10.0773,1464.8,1.9337
10.0788,2218.9,2.0671
