# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Kept interfering with string for all RPMs for unknown reasons.
time_s,rpm,height_m
-2.3300,226.1,0.0095
-2.3200,226.1,0.0000
-2.3015,226.1,0.0000
-2.2952,226.1,0.0000
-2.2167,226.1,0.0000
-2.2130,225.6,0.0000
-2.2084,223.7,0.0000
-2.2070,223.2,0.0000
-2.1277,191.8,0.0000
-2.1219,189.5,0.0000
-2.0172,231.0,0.0000
-2.0089,227.7,0.0000
-1.9170,190.9,0.0000
-1.8105,168.1,0.0000
-1.7000,193.8,0.0000
-1.6878,196.4,0.0000
-1.5693,151.6,0.0000
-1.5629,149.2,0.0000
-1.5533,145.5,0.0000
-1.4141,124.4,0.0000
-1.4117,124.1,0.0000
-1.4103,123.9,0.0000
-1.4069,123.4,0.0000
-1.4044,123.0,0.0000
-1.2134,110.3,0.0000
-1.2101,110.1,0.0000
-1.2045,109.8,0.0000
-1.2012,110.8,0.0000
-1.0930,173.9,0.0000
-0.9559,142.8,0.0000
-0.7760,111.3,0.0000
-0.7689,110.1,0.0000
-0.6670,181.6,0.0000
-0.6629,184.6,0.0000
-0.6615,185.6,0.0000
-0.6601,186.7,0.0000
-0.5592,175.9,0.0000
-0.5504,174.8,0.0000
-0.5450,174.2,0.0000
-0.4471,189.5,0.0000
-0.4447,189.9,0.0000
-0.4424,190.3,0.0000
-0.4344,192.0,0.0000
-0.3537,213.9,0.0000
-0.3430,216.1,0.0000
-0.3416,216.0,0.0000
-0.2567,215.3,0.0000
-0.2543,215.2,0.0000
-0.2509,215.7,0.0000
-0.2475,216.7,0.0000
-0.0806,245.2,0.0000
-0.0074,246.7,0.0000
0.0000,248.9,0.0000
0.0750,272.4,0.0107
0.1447,274.8,0.0099
0.1472,274.7,0.0299
0.3531,300.7,0.0417
0.3561,301.2,0.0508
0.4215,311.0,0.0540
0.5434,325.0,0.0509
0.6044,332.5,0.0475
0.7207,348.1,0.0455
0.7787,353.9,0.0359
0.8900,368.1,0.0199
0.8925,368.6,0.0000
1.0447,388.5,0.0002
1.1452,402.9,0.0000
1.1895,407.1,0.0000
1.1953,407.9,0.0000
1.2428,414.7,0.0000
1.3361,424.6,0.0000
1.4306,436.4,0.0000
1.4783,444.1,0.0000
1.6028,466.4,0.0000
1.6505,466.6,0.0000
1.6554,467.3,0.0000
1.6872,472.0,0.0000
1.6914,472.4,0.0000
1.6963,472.8,0.0000
1.7377,477.1,0.0000
1.8961,499.2,0.0000
1.8987,500.4,0.0000
1.9017,501.9,0.0000
1.9321,515.8,0.0000
1.9745,507.3,0.0000
1.9814,508.1,0.0000
1.9834,508.3,0.0000
2.0156,512.4,0.0000
2.0201,513.2,0.0000
2.0537,518.8,0.0000
2.1281,527.1,0.0000
2.1642,533.7,0.0000
2.1729,533.8,0.0000
2.2115,536.3,0.0000
2.3199,560.2,0.0000
2.3579,552.3,0.0000
2.3885,556.4,0.0000
2.3913,558.0,0.0000
2.3937,559.3,0.0000
2.4196,572.0,0.0000
2.4270,571.1,0.0000
2.4310,570.6,0.0000
2.5674,587.9,0.0000
2.5949,608.0,0.0000
2.6036,602.0,0.0000
2.6304,588.9,0.0000
2.6318,589.1,0.0000
2.6341,589.5,0.0000
2.6375,590.1,0.0000
2.6700,596.2,0.0000
2.7039,601.3,0.0000
2.7287,602.9,0.0000
2.7606,606.8,0.0000
2.7621,607.1,0.0000
2.7637,607.4,0.0000
2.7943,614.8,0.0000
2.8031,620.8,0.0000
2.9278,1684.7,0.0000
3.2153,4369.2,0.0000
3.5437,4949.6,0.0000
3.5453,4380.6,0.0000
3.7293,5554.0,0.0000
3.8782,4310.5,0.0077
4.0023,4389.5,0.0223
4.0354,4239.7,0.0360
4.0548,5244.2,0.0472
4.1587,2477.1,0.0544
4.1825,5476.3,0.0542
4.3019,5532.0,0.0487
4.3235,5463.7,0.0508
4.3639,5558.9,0.0540
4.4119,4392.9,0.0579
4.4333,4481.1,0.0621
4.4844,4012.3,0.0660
4.5694,2760.8,0.0692
4.5960,4352.7,0.0713
4.6370,4368.8,0.0717
4.6932,5496.6,0.0692
4.7525,4448.5,0.0694
4.8343,5521.5,0.0704
4.9790,4012.8,0.0779
4.9956,4357.5,0.0784
5.0484,5554.1,0.0733
5.0601,5371.0,0.0640
5.1187,2744.5,0.0519
5.2202,1741.4,0.0384
5.3320,3268.7,0.0249
5.3652,2770.3,0.0128
5.4692,5556.4,0.0056
5.4905,5594.4,0.0041
5.5969,2761.0,0.0100
5.6722,5578.2,0.0100
5.7339,5485.4,0.0100
5.8969,5438.8,0.0100
5.9370,5573.6,0.0100
5.9996,4327.1,0.0000
6.0205,5407.9,0.0035
6.0465,2211.3,0.0308
6.2044,3728.7,0.0503
6.2116,5476.8,0.0622
6.2239,4477.3,0.0668
6.3464,5562.8,0.0642
6.4469,3720.9,0.0548
6.4875,5461.5,0.0387
6.4958,4509.9,0.0163
6.6366,5337.8,0.0000
6.6918,3197.4,0.0000
6.6972,3263.1,0.0000
6.7190,2763.1,0.0000
6.7711,2762.3,0.0000
6.9745,2766.3,0.0000
6.9982,5554.0,0.0000
7.0165,5480.7,0.0000
7.0541,4278.8,0.0000
7.1769,3617.9,0.0055
7.2012,5468.3,0.0348
7.2662,5532.9,0.0605
7.4438,5567.6,0.0814
7.5022,2344.1,0.0959
7.8672,2769.0,0.1028
7.8761,4392.0,0.1005
7.9480,2267.1,0.0878
7.9724,5443.3,0.0632
8.0176,4264.1,0.0550
8.0519,5540.1,0.0533
8.0710,4013.0,0.0600
8.2328,5094.0,0.0600
8.2953,5501.7,0.0600
8.3352,4259.6,0.0600
8.3832,4576.0,0.0600
8.4178,5110.4,0.0566
8.4225,3510.2,0.0575
8.7798,5012.9,0.0616
8.7996,3342.1,0.0680
8.8202,5524.6,0.0759
8.9210,3695.4,0.0841
8.9811,4297.8,0.0920
9.0008,3188.3,0.0984
9.0453,5353.3,0.1025
9.0840,5491.3,0.1034
9.1438,3205.1,0.1000
9.2654,5468.5,0.0857
9.3268,2758.1,0.1069
9.4464,5533.7,0.1200
9.4677,5228.4,0.1258
9.4692,4622.4,0.1253
9.5279,3175.0,0.1194
9.5888,4535.6,0.1091
9.6144,4457.5,0.0954
9.6706,4929.2,0.0790
9.6872,4273.5,0.0610
9.7267,2621.8,0.0424
9.8886,1843.4,0.0600
9.8901,1842.7,0.0600
9.9181,4612.2,0.0600
9.9936,3411.8,0.0600
10.0114,5547.5,0.0600
10.1127,3553.6,0.0550
10.1530,4455.9,0.0562
10.2226,5195.1,0.0666
10.3835,3685.4,0.0752
10.4838,4285.7,0.0818
10.4862,3607.3,0.0862
10.5289,3452.5,0.0882
10.5662,4528.0,0.0874
10.6946,4317.0,0.0838
10.6980,3826.2,0.0770
10.8992,3911.5,0.0669
10.9704,2537.3,0.0658
10.9771,3777.3,0.0700
10.9855,4322.0,0.0700
11.0817,3533.3,0.0700
11.0861,5063.5,0.0700
11.1293,3436.8,0.0700
11.1473,3217.1,0.0574
11.2357,3480.7,0.0606
11.2611,2807.0,0.0759
11.2632,2593.4,0.1001
11.2667,2240.7,0.1286
11.3380,3460.8,0.1599
11.4349,6032.8,0.1903
11.4384,5017.8,0.2161
11.4573,974.2,0.2334
11.4756,725.0,0.2386
11.4819,639.0,0.2280
11.4834,619.1,0.2296
11.5472,3282.4,0.2273
11.6222,3439.2,0.2283
11.6838,1921.5,0.2316
11.6873,2180.5,0.2380
11.6898,2307.1,0.2459
11.6933,2356.0,0.2541
11.7227,1896.5,0.2620
11.7510,815.0,0.2684
11.8896,2944.6,0.2725
11.8959,2350.9,0.2734
11.9724,1925.9,0.2675
11.9762,1806.1,0.2681
11.9990,2661.7,0.2712
12.0112,1942.0,0.2769
12.0147,1539.9,0.2825
12.0362,876.1,0.2877
12.0377,846.9,0.2920
12.1148,1531.0,0.2948
12.1297,2016.0,0.2959
12.1393,1493.7,0.2945
12.1614,1760.4,0.2904
12.2570,897.2,0.3062
12.2585,872.9,0.3017
12.2755,602.1,0.2821
12.2919,1498.6,0.2499
12.3767,803.6,0.2107
12.4084,1623.3,0.1709
12.4135,1637.8,0.1314
12.4160,1693.5,0.0971
12.5384,3090.9,0.0734
12.5445,2374.9,0.0653
12.5551,1133.0,0.0779
12.6432,2305.4,0.0740
12.6818,1803.6,0.0708
12.6859,1397.0,0.0687
12.6884,1156.1,0.0683
12.6898,1017.5,0.0700
12.6949,743.5,0.0700
12.7987,800.6,0.0700
12.8078,891.1,0.0700
12.8134,947.0,0.0700
12.8195,958.4,0.0692
12.9456,796.8,0.0694
12.9481,809.4,0.0704
12.9547,841.6,0.0712
13.0611,1881.9,0.0733
13.0647,1089.0,0.0764
13.2243,807.6,0.0800
13.2345,1045.2,0.0836
13.2638,635.5,0.0732
13.3486,487.6,0.0872
13.3501,483.5,0.1022
13.4260,1115.3,0.1255
13.4338,1059.2,0.1392
13.5250,490.3,0.1438
13.5668,452.0,0.1415
13.5826,880.6,0.1320
13.6172,856.0,0.1157
13.7108,1179.5,0.0932
13.7137,1391.3,0.0648
13.7164,1466.9,0.0650
13.7232,1325.8,0.0633
13.7616,534.7,0.0700
13.7630,505.1,0.0700
13.7822,604.0,0.0700
13.7856,670.3,0.0700
13.7925,800.1,0.0700
13.8154,863.1,0.0750
13.8278,776.5,0.0738
13.8303,755.7,0.0676
13.9975,634.3,0.0580
14.0025,713.3,0.0462
14.0351,1017.6,0.0338
14.0409,954.7,0.0220
14.1348,1272.3,0.0124
14.1394,1383.1,0.0062
14.1927,390.7,0.0050
14.3568,589.0,0.0100
14.3750,1233.6,0.0100
14.4257,389.6,0.0100
14.4342,369.4,0.0100
14.4357,380.4,0.0100
14.4372,391.1,0.0058
14.4507,489.5,0.0069
14.4540,514.1,0.0120
14.5013,1178.8,0.0200
14.5966,659.6,0.0298
14.5981,764.9,0.0402
14.6006,936.8,0.0500
14.6104,1341.8,0.0589
14.6567,601.7,0.0638
14.6582,577.8,0.0638
14.6637,490.1,0.0580
14.6661,451.1,0.0560
14.6686,411.6,0.0540
14.6700,389.2,0.0545
14.6930,339.1,0.0523
14.6944,343.6,0.0482
14.7040,372.4,0.0431
14.7064,379.7,0.0381
14.7397,1042.4,0.0319
14.9055,387.8,0.0277
14.9115,334.1,0.0224
14.9218,308.8,0.0173
14.9446,285.3,0.0135
14.9460,283.8,0.0121
15.0869,2305.9,0.0079
15.1469,587.5,0.0040
15.1840,292.2,0.0008
15.1884,291.9,0.0000
15.3156,298.0,0.0000
15.3267,420.6,0.0000
15.3282,437.0,0.0000
15.4188,312.5,0.0000
15.4369,356.5,0.0000
15.4384,360.0,0.0000
15.4398,363.4,0.0000
15.4412,366.9,0.0000
