timestamp_sec,source,alue1,value2
970.792297,tfmini,1844,39321
970.799377,tfmini,308,1819
970.818908,tfmini,308,1826
970.861511,tfmini,309,1810
970.866027,tfmini,308,1824
970.867553,tfmini,308,1826
970.872375,tfmini,309,1811
970.876647,tfmini,308,1816
970.894287,tfmini,309,1795
970.902465,tfmini,308,2298
970.907775,tfmini,308,1795
970.918762,tfmini,309,1830
970.924621,tfmini,308,1830
970.926147,tfmini,308,1830
970.927673,tfmini,308,1845
970.929748,tfmini,308,1856
970.943847,tfmini,307,1867
970.949584,tfmini,307,1879
970.953430,tfmini,307,1867
970.971923,tfmini,307,1856
970.981567,tfmini,307,1861
970.994506,tfmini,307,1865
971.007507,tfmini,308,1851
971.008972,tfmini,308,1851
971.016418,tfmini,308,1861
971.021850,tfmini,308,1843
971.042236,tfmini,308,1825
971.044738,tfmini,308,1855
971.048400,tfmini,309,1838
971.056518,tfmini,309,39177
971.063842,tfmini,308,1822
971.065429,tfmini,308,39198
971.071289,tfmini,309,1843
971.072814,tfmini,309,1829
971.077026,tfmini,309,1844
971.085937,tfmini,309,1838
971.087463,tfmini,309,1827
971.089843,tfmini,308,1825
971.102722,tfmini,309,1825
971.111145,tfmini,309,22793
971.115173,tfmini,308,1800
971.117736,tfmini,308,1817
971.132690,tfmini,308,1800
971.140991,tfmini,61441,39257
971.149658,tfmini,309,1789
971.157714,tfmini,309,2053
971.159912,tfmini,309,1781
971.161560,tfmini,309,1812
971.167053,tfmini,2356,22937
971.175048,tfmini,309,1807
971.176757,tfmini,309,1828
971.184082,tfmini,308,1828
971.185729,tfmini,308,1816
971.188232,tfmini,308,1817
971.197082,tfmini,309,1831
971.202453,tfmini,309,1811
971.205017,tfmini,309,1826
971.208190,tfmini,309,1822
971.215332,tfmini,309,1818
971.246643,tfmini,308,1817
971.254150,tfmini,309,1810
971.255676,tfmini,309,22802
971.261901,tfmini,309,1807
971.277709,tfmini,309,1811
971.282104,tfmini,308,1826
971.284606,tfmini,308,1810
971.291015,tfmini,308,1807
971.295898,tfmini,308,1838
971.297424,tfmini,308,1838
971.306091,tfmini,309,1817
971.313598,tfmini,309,1805
971.338256,tfmini,309,1801
971.339782,tfmini,309,1801
971.341308,tfmini,309,1801
971.348937,tfmini,308,1795
971.357482,tfmini,309,22784
971.361816,tfmini,309,1787
971.370361,tfmini,309,1778
971.372680,tfmini,309,1769
971.381103,tfmini,309,1789
971.386291,tfmini,309,1771
971.387817,tfmini,309,1788
971.398315,tfmini,309,1786
971.404846,tfmini,309,1770
971.409179,tfmini,309,1787
971.411865,tfmini,309,1773
971.413391,tfmini,309,1773
971.421691,tfmini,308,23015
971.424987,tfmini,308,1780
971.426574,tfmini,308,1780
971.435180,tfmini,309,1773
971.443725,tfmini,309,1783
971.452026,tfmini,308,39393
971.458190,tfmini,308,1781
971.460693,tfmini,309,1785
971.465332,tfmini,309,1776
971.472412,tfmini,309,1799
971.484375,tfmini,308,1783
971.490722,tfmini,309,1798
971.495788,tfmini,309,1796
971.502441,tfmini,309,1816
971.510314,tfmini,309,1804
971.521728,tfmini,309,1805
971.525207,tfmini,309,1809
971.540588,tfmini,309,1811
971.567504,tfmini,309,1806
971.577575,tfmini,309,1816
971.589538,tfmini,309,1811
971.598144,tfmini,2100,22937
971.632812,tfmini,310,1826
971.637329,tfmini,310,1812
971.642517,tfmini,309,1818
971.655761,tfmini,309,1810
971.657287,tfmini,309,1823
971.662109,tfmini,308,1829
971.668579,tfmini,309,1809
971.670959,tfmini,308,39175
971.673156,tfmini,308,1819
971.679138,tfmini,309,1821
971.693542,tfmini,308,1828
971.697021,tfmini,308,1820
971.703247,tfmini,308,1819
971.705749,tfmini,308,39321
971.707763,tfmini,308,1805
971.710388,tfmini,309,1823
971.723388,tfmini,309,1808
971.725891,tfmini,308,1793
971.735290,tfmini,308,1799
971.736816,tfmini,308,1805
971.746215,tfmini,309,1803
971.751831,tfmini,307,1775
971.754455,tfmini,307,1799
971.755981,tfmini,307,39176
971.764465,tfmini,13721,62721
971.766906,tfmini,309,1777
971.770385,tfmini,308,1773
971.779174,tfmini,309,1758
971.782653,tfmini,309,1774
971.785095,tfmini,309,1787
971.790161,tfmini,309,1808
971.794006,tfmini,309,23019
971.796020,tfmini,310,1776
971.799926,tfmini,309,1764
971.830810,tfmini,309,1788
971.835205,tfmini,310,1772
971.848449,tfmini,309,1783
971.887512,tfmini,309,1786
971.894897,tfmini,308,1810
971.900878,tfmini,308,1798
971.903869,tfmini,308,1807
971.909851,tfmini,308,1810
971.918273,tfmini,308,1817
971.920532,tfmini,308,1803
971.953002,tfmini,308,1807
971.958435,tfmini,309,1810
971.961975,tfmini,309,22798
971.964172,tfmini,308,1812
971.968933,tfmini,308,1817
971.970458,tfmini,308,1801
971.978698,tfmini,22937,309
971.988891,tfmini,309,1824
971.997253,tfmini,309,39207
972.011535,tfmini,308,1809
972.013000,tfmini,308,1829
972.028259,tfmini,308,1823
972.032836,tfmini,309,1819
972.037719,tfmini,309,1819
972.040222,tfmini,309,1816
972.058166,tfmini,309,1813
972.072326,tfmini,310,1821
972.076782,tfmini,309,1813
972.080139,tfmini,309,1826
972.085021,tfmini,308,1828
972.086853,tfmini,308,1827
972.099670,tfmini,309,1823
972.103149,tfmini,308,1813
972.105712,tfmini,308,1822
972.114074,tfmini,309,22937
972.122070,tfmini,308,2321
972.156494,tfmini,309,1794
972.163085,tfmini,309,1788
972.166809,tfmini,309,1768
972.186096,tfmini,309,1786
972.194702,tfmini,308,39176
972.204956,tfmini,308,1764
972.213989,tfmini,309,1787
972.223083,tfmini,308,1793
972.225402,tfmini,309,1780
972.245910,tfmini,308,1777
972.250427,tfmini,308,1771
972.257263,tfmini,308,1784
972.261291,tfmini,309,1791
972.274536,tfmini,308,1786
972.276123,tfmini,308,1786
972.301208,tfmini,308,1809
972.303894,tfmini,308,1809
972.310241,tfmini,309,22813
972.324218,tfmini,308,1803
972.328979,tfmini,308,1814
972.332397,tfmini,309,1828
972.344238,tfmini,308,1803
972.350769,tfmini,308,1812
972.355468,tfmini,309,1811
972.359558,tfmini,309,1803
972.361999,tfmini,308,1814
972.367980,tfmini,309,1810
972.389892,tfmini,309,1825
972.397460,tfmini,308,1825
972.407714,tfmini,309,1826
972.412109,tfmini,308,1830
972.413635,tfmini,309,1830
972.426818,tfmini,309,1828
972.431091,tfmini,309,1814
972.438293,tfmini,309,1822
972.443054,tfmini,308,1822
972.445739,tfmini,308,1798
972.447204,tfmini,308,1819
972.450012,tfmini,308,1818
972.453369,tfmini,308,1811
972.475769,tfmini,308,1809
972.484313,tfmini,308,1812
972.489746,tfmini,309,1818
972.492309,tfmini,309,1822
972.499572,tfmini,309,1807
972.502685,tfmini,308,1815
972.505126,tfmini,308,1816
972.509033,tfmini,308,1828
972.514526,tfmini,309,1828
972.516906,tfmini,309,1813
972.529907,tfmini,309,1804
972.534362,tfmini,309,1802
972.541259,tfmini,309,1801
972.556945,tfmini,309,1794
972.571594,tfmini,309,1796
972.590332,tfmini,308,1790
972.599670,tfmini,308,1783
972.602050,tfmini,307,1786
972.645996,tfmini,309,1805
972.650451,tfmini,309,1781
972.653015,tfmini,309,1795
972.654479,tfmini,309,1795
972.666748,tfmini,309,1801
972.670227,tfmini,309,1814
972.671752,tfmini,309,1814
972.674316,tfmini,309,1795
972.676818,tfmini,309,2069
972.680847,tfmini,309,39176
972.682678,tfmini,309,1805
972.690979,tfmini,309,1814
972.697326,tfmini,309,1826
972.698913,tfmini,309,1820
972.700500,tfmini,309,39177
972.726379,tfmini,309,1817
972.730834,tfmini,309,1834
972.733337,tfmini,309,1832
972.745361,tfmini,309,1827
972.755249,tfmini,309,1824
972.771118,tfmini,308,1817
972.789062,tfmini,309,1815
972.794677,tfmini,308,1820
972.815856,tfmini,308,1821
972.828125,tfmini,309,1833
972.840637,tfmini,309,1816
972.848266,tfmini,309,1824
972.863342,tfmini,309,1813
972.864868,tfmini,309,1830
972.868469,tfmini,309,1814
972.875976,tfmini,309,1823
972.881286,tfmini,309,1832
972.884887,tfmini,309,22873
972.886962,tfmini,309,1817
972.890258,tfmini,309,1830
972.908569,tfmini,309,1823
972.910095,tfmini,309,1823
972.915527,tfmini,309,1807
972.916992,tfmini,309,1807
972.925048,tfmini,22837,13721
972.943664,tfmini,309,1779
972.945251,tfmini,309,1779
972.962707,tfmini,309,1781
972.967163,tfmini,309,1791
972.972229,tfmini,309,1790
972.999694,tfmini,309,1792
973.003234,tfmini,309,1778
973.010314,tfmini,309,1765
973.015930,tfmini,309,1796
973.040466,tfmini,309,1785
973.043884,tfmini,309,1791
973.052185,tfmini,309,1792
973.054504,tfmini,309,1774
973.073242,tfmini,308,1794
973.075561,tfmini,308,1801
973.082214,tfmini,309,22791
973.090820,tfmini,22807,13401
973.096679,tfmini,309,1793
973.107910,tfmini,309,1808
973.109436,tfmini,309,1811
973.110961,tfmini,309,1811
973.115417,tfmini,308,1819
973.121582,tfmini,308,1818
973.145202,tfmini,309,1818
973.148742,tfmini,309,1813
973.154418,tfmini,308,1793
973.174682,tfmini,309,1801
973.183105,tfmini,309,39177
973.191101,tfmini,308,1817
973.193847,tfmini,308,1800
973.205078,tfmini,308,1818
973.210449,tfmini,308,1799
973.235717,tfmini,308,1826
973.237243,tfmini,308,1826
973.239746,tfmini,309,1819
973.242370,tfmini,310,1815
973.249145,tfmini,309,39199
973.251708,tfmini,309,1809
973.256896,tfmini,309,1817
973.266845,tfmini,308,1817
973.271301,tfmini,308,1815
973.276367,tfmini,308,1823
973.280334,tfmini,309,1812
973.288085,tfmini,308,1798
973.302551,tfmini,308,1819
973.307189,tfmini,308,1796
973.312011,tfmini,308,1799
973.331420,tfmini,309,1808
973.332885,tfmini,309,1808
973.338562,tfmini,309,1791
973.340087,tfmini,309,1791
973.344299,tfmini,309,1802
973.346923,tfmini,309,1790
973.361267,tfmini,309,1784
973.362792,tfmini,308,1784
973.369323,tfmini,309,1786
973.371826,tfmini,13721,64257
973.377258,tfmini,309,1786
973.385314,tfmini,308,23025
973.395690,tfmini,309,1793
973.404418,tfmini,309,1779
973.408630,tfmini,309,1777
973.412109,tfmini,309,1779
973.427612,tfmini,309,1784
973.436035,tfmini,308,39412
973.455566,tfmini,308,1804
973.463317,tfmini,308,1801
973.468200,tfmini,309,1792
973.470581,tfmini,309,1805
973.479187,tfmini,2356,22796
973.483215,tfmini,308,1798
973.487426,tfmini,308,1807
973.490173,tfmini,308,1814
973.492736,tfmini,309,22790
973.500671,tfmini,309,39216
973.502807,tfmini,308,1822
973.504333,tfmini,308,1822
973.513122,tfmini,308,1820
973.528930,tfmini,309,1813
973.544677,tfmini,308,1809
973.558776,tfmini,308,1805
973.567504,tfmini,309,39177
973.575500,tfmini,309,1802
973.583129,tfmini,309,1804
973.590270,tfmini,308,1821
973.595336,tfmini,309,1824
973.606323,tfmini,309,1816
973.608825,tfmini,309,1817
973.613464,tfmini,309,1807
973.638732,tfmini,308,1813
973.642395,tfmini,309,1816
973.645019,tfmini,309,1807
973.647644,tfmini,308,1816
973.651000,tfmini,308,1824
973.659545,tfmini,309,2312
973.669128,tfmini,309,1818
973.690002,tfmini,309,1815
973.693420,tfmini,309,1799
973.699523,tfmini,307,1806
973.711608,tfmini,307,1798
973.724426,tfmini,0,11012
973.734619,tfmini,0,7417
973.738830,tfmini,1,7452
973.742309,tfmini,1,6966
973.746276,tfmini,1,3114
973.772399,tfmini,299,1793
973.779846,tfmini,307,1779
973.787902,tfmini,309,23022
973.807312,tfmini,309,1784
973.810852,tfmini,309,1783
973.814392,tfmini,308,1783
973.818298,tfmini,308,1789
973.824462,tfmini,308,1787
973.827148,tfmini,2356,39410
973.834594,tfmini,309,1790
973.836242,tfmini,22785,13721
973.848693,tfmini,309,1785
973.851196,tfmini,309,1787
973.854736,tfmini,309,1779
973.863830,tfmini,308,1804
973.869323,tfmini,308,1803
973.870849,tfmini,308,1803
973.873718,tfmini,308,1796
973.876342,tfmini,308,1802
973.878845,tfmini,308,1802
973.881347,tfmini,308,1802
973.885314,tfmini,309,1820
973.893737,tfmini,309,39175
973.898193,tfmini,309,1806
973.906616,tfmini,308,5912
973.918212,tfmini,308,1809
973.922424,tfmini,308,1827
973.925903,tfmini,308,1805
973.927429,tfmini,308,1805
973.947021,tfmini,0,6006
973.955993,tfmini,0,6761
973.960449,tfmini,0,6191
973.962829,tfmini,0,5669
973.969421,tfmini,0,544
973.977355,tfmini,0,242
973.985290,tfmini,35,55552
973.987426,tfmini,57,285
973.995239,tfmini,298,39182
973.997314,tfmini,304,1802
974.000854,tfmini,307,1821
974.005737,tfmini,308,22937
974.013000,tfmini,308,1809
974.026733,tfmini,308,1807
974.043457,tfmini,308,1818
974.049865,tfmini,309,1818
974.058471,tfmini,309,1822
974.065063,tfmini,309,1822
974.068115,tfmini,308,1826
974.071411,tfmini,308,1810
974.081176,tfmini,309,1819
974.089599,tfmini,309,7710
974.092834,tfmini,308,1808
974.095214,tfmini,308,1809
974.096740,tfmini,308,1809
974.105712,tfmini,13721,5633
974.114929,tfmini,309,1783
974.134704,tfmini,308,1793
974.139160,tfmini,307,1782
974.140686,tfmini,307,1780
974.147644,tfmini,249,39257
974.154113,tfmini,0,4616
974.155578,tfmini,0,4616
974.156982,tfmini,39936,22873
974.159179,tfmini,0,5234
974.161682,tfmini,0,5487
974.167541,tfmini,0,39321
974.181396,tfmini,1,7990
974.182800,tfmini,1,7990
974.187255,tfmini,1,7923
974.193176,tfmini,1,6168
974.196289,tfmini,1,39402
974.198425,tfmini,2,1652
974.199829,tfmini,2,1652
974.201293,tfmini,2,1503
974.208740,tfmini,4,1024
974.229064,tfmini,243,1294
974.244201,tfmini,305,1806
974.248657,tfmini,307,1797
974.251892,tfmini,307,1816
974.261718,tfmini,308,1816
974.267395,tfmini,308,1807
974.270935,tfmini,308,39187
974.274902,tfmini,309,1812
974.281250,tfmini,309,1832
974.283752,tfmini,1844,22873
974.299865,tfmini,308,1806
974.312683,tfmini,308,1810
974.321655,tfmini,308,1823
974.326049,tfmini,308,1822
974.335449,tfmini,309,1818
974.342041,tfmini,309,1813
974.363220,tfmini,309,1820
974.368713,tfmini,309,1795
974.375732,tfmini,308,1813
974.379516,tfmini,308,1812
974.390930,tfmini,309,1827
974.392456,tfmini,309,1799
974.399780,tfmini,309,1811
974.403381,tfmini,309,1823
974.412719,tfmini,309,1821
974.414245,tfmini,309,1825
974.419982,tfmini,309,1813
974.423400,tfmini,308,1815
974.425842,tfmini,309,1826
974.429321,tfmini,6401,22937
974.438720,tfmini,309,1819
974.446105,tfmini,308,1820
974.448303,tfmini,308,1815
974.449890,tfmini,308,1815
974.472473,tfmini,308,1822
974.500183,tfmini,309,1802
974.516052,tfmini,309,1797
974.518554,tfmini,309,1802
974.521118,tfmini,309,1799
974.524536,tfmini,310,1802
974.526062,tfmini,310,22794
974.540710,tfmini,308,1789
974.548217,tfmini,308,1779
974.551147,tfmini,308,1788
974.556884,tfmini,308,22789
974.565917,tfmini,307,1783
974.568298,tfmini,307,1799
974.582641,tfmini,271,1663
974.585266,tfmini,62,2297
974.588745,tfmini,45,3067
974.590209,tfmini,15,3901
974.598266,tfmini,153,15872
974.609558,tfmini,0,2084
974.622192,tfmini,0,2353
974.631469,tfmini,0,2349
974.635009,tfmini,0,1661
974.639221,tfmini,0,734
974.642211,tfmini,0,616
974.646118,tfmini,0,459
974.658142,tfmini,27,218
974.668334,tfmini,298,1802
974.669860,tfmini,302,1802
974.678771,tfmini,308,1813
974.681335,tfmini,308,1821
974.689392,tfmini,2101,22937
974.706726,tfmini,308,1818
974.727478,tfmini,309,1828
974.740600,tfmini,308,1808
974.749145,tfmini,309,22791
974.753417,tfmini,310,1808
974.759948,tfmini,309,1817
974.773376,tfmini,308,1818
974.777709,tfmini,308,1825
974.782165,tfmini,308,7711
974.788024,tfmini,310,1803
974.795776,tfmini,308,1806
974.798889,tfmini,308,1811
974.802429,tfmini,308,1815
974.807250,tfmini,304,1841
974.815673,tfmini,51200,22873
974.817871,tfmini,0,1803
974.832946,tfmini,0,492
974.834289,tfmini,0,492
974.838745,tfmini,0,285
974.847961,tfmini,36,244
974.853149,tfmini,249,1802
974.877502,tfmini,309,1820
974.938110,tfmini,308,1772
974.939636,tfmini,309,1772
974.941162,tfmini,309,1786
974.948791,tfmini,309,1791
974.963012,tfmini,307,1792
974.970275,tfmini,303,1844
974.973449,tfmini,25,8554
974.978027,tfmini,0,2617
974.987854,tfmini,0,4405
974.993164,tfmini,0,4448
974.998168,tfmini,0,2809
975.002258,tfmini,0,550
975.004516,tfmini,0,539
975.008483,tfmini,1,257
975.010925,tfmini,0,271
975.013732,tfmini,1,194
975.018615,tfmini,18,193
975.020019,tfmini,30,39321
975.037597,tfmini,308,1792
975.052551,tfmini,309,1799
975.062255,tfmini,309,1804
975.070983,tfmini,308,2332
975.076965,tfmini,309,1830
975.081726,tfmini,308,1817
975.088623,tfmini,308,1825
975.093811,tfmini,309,1807
975.100585,tfmini,309,1808
975.104309,tfmini,309,1814
975.109008,tfmini,309,1808
975.117309,tfmini,308,22937
975.119384,tfmini,307,1820
975.131591,tfmini,0,10531
975.147705,tfmini,0,453
975.151977,tfmini,0,266
975.155395,tfmini,1,31
975.158447,tfmini,24,228
975.162780,tfmini,138,262
975.171691,tfmini,307,1821
975.190185,tfmini,308,1805
975.191833,tfmini,308,1805
975.197448,tfmini,309,1814
975.231323,tfmini,309,1828
975.235656,tfmini,309,1824
975.237182,tfmini,309,1809
975.240783,tfmini,308,22792
975.245056,tfmini,309,39257
975.249633,tfmini,306,39228
975.272216,tfmini,1,601
975.276733,tfmini,1,323
975.288818,tfmini,147,1771
975.291320,tfmini,272,1808
975.297973,tfmini,307,39176
975.300476,tfmini,308,1783
975.319458,tfmini,309,1790
975.328063,tfmini,308,2556
975.331481,tfmini,309,1804
975.345520,tfmini,309,1793
975.350891,tfmini,309,1780
975.362426,tfmini,309,1781
975.374145,tfmini,307,1788
975.384216,tfmini,0,8957
975.386596,tfmini,0,2355
975.389892,tfmini,0,2933
975.397888,tfmini,0,351
975.400756,tfmini,0,221
975.406066,tfmini,24,304
975.409545,tfmini,35,1803
975.414001,tfmini,290,1804
975.427490,tfmini,308,1790
975.432983,tfmini,309,1804
975.434509,tfmini,309,1804
975.438720,tfmini,308,1787
975.448913,tfmini,308,1797
975.451293,tfmini,308,1796
975.459716,tfmini,309,1810
975.463012,tfmini,309,1798
975.464599,tfmini,309,1798
975.470458,tfmini,308,1800
975.473571,tfmini,308,39176
975.477722,tfmini,308,1819
975.480834,tfmini,305,1817
975.483154,tfmini,22790,1433
975.486145,tfmini,0,10577
975.489257,tfmini,0,11781
975.490722,tfmini,2864,39257
975.502197,tfmini,0,262
975.510498,tfmini,51,359
975.521484,tfmini,307,1807
975.523010,tfmini,308,1821
975.524536,tfmini,308,1821
975.535278,tfmini,308,1832
975.540710,tfmini,308,1816
975.543273,tfmini,308,1817
975.549743,tfmini,308,1826
975.552612,tfmini,308,1807
975.557250,tfmini,309,1826
975.561096,tfmini,309,1826
975.563964,tfmini,309,1825
975.566467,tfmini,7937,22937
975.569519,tfmini,309,1828
975.572509,tfmini,309,1812
975.580871,tfmini,307,1823
975.585144,tfmini,302,1620
975.588806,tfmini,0,9046
975.590820,tfmini,0,10233
975.597534,tfmini,0,22787
975.601318,tfmini,0,806
975.628662,tfmini,309,1807
975.640869,tfmini,309,1804
975.682067,tfmini,303,2349
975.693908,tfmini,0,2081
975.711059,tfmini,259,1797
975.713562,tfmini,291,1805
975.732849,tfmini,308,1804
975.749938,tfmini,309,1804
975.753295,tfmini,309,1787
975.766662,tfmini,308,1802
975.772949,tfmini,258,7005
975.786254,tfmini,0,448
975.788635,tfmini,0,291
975.799377,tfmini,158,1791
975.810363,tfmini,309,1789
975.815795,tfmini,309,1795
975.831359,tfmini,309,1806
975.852966,tfmini,308,1796
975.868713,tfmini,409,3072
975.890625,tfmini,305,1812
975.893127,tfmini,307,1804
975.902526,tfmini,308,1803
975.918579,tfmini,309,1832
975.920104,tfmini,308,1812
975.942443,tfmini,255,8561
975.952636,tfmini,0,760
975.967224,tfmini,260,1816
975.978027,tfmini,309,1826
975.979492,tfmini,309,1819
975.983032,tfmini,309,1818
975.997009,tfmini,308,1820
975.999572,tfmini,308,1832
976.007568,tfmini,309,39195
