=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:17:53 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,vlue2
2.754616,tfmini,312,1881
2.768056,tfmini,312,1892
2.769472,tfmini,312,1892
2.781940,tfmini,312,1890
2.786376,tfmini,312,1889
2.787800,tfmini,312,1889
2.796984,tfmini,312,1885
2.801304,tfmini,312,1871
2.808440,tfmini,312,1873
2.815232,tfmini,312,1879
2.817152,tfmini,312,1870
2.824024,tfmini,312,1879
2.827024,tfmini,312,1866
2.829432,tfmini,312,1885
2.830888,tfmini,312,1887
2.833272,tfmini,313,2402
2.837032,tfmini,312,1892
2.841604,tfmini,312,39261
2.848048,tfmini,312,1878
2.850456,tfmini,312,22800
2.852520,tfmini,312,1895
2.856856,tfmini,312,22880
2.860512,tfmini,312,1869
2.868592,tfmini,313,2392
2.878280,tfmini,312,1887
2.887576,tfmini,311,1881
2.890712,tfmini,312,1867
2.904184,tfmini,312,1895
2.905600,tfmini,312,1884
2.908976,tfmini,312,1875
2.916216,tfmini,312,1875
2.917648,tfmini,313,1886
2.927120,tfmini,312,1870
2.934008,tfmini,312,1885
2.936152,tfmini,312,1899
2.939272,tfmini,312,1889
2.941784,tfmini,312,1861
2.949140,tfmini,313,1866
2.963808,tfmini,312,1879
2.987560,tfmini,312,1864
2.992856,tfmini,311,1876
2.994280,tfmini,311,1876
2.998392,tfmini,311,1879
3.002616,tfmini,311,39259
3.007240,tfmini,312,22877
3.013792,tfmini,312,1879
3.016688,tfmini,312,1875
3.022000,tfmini,312,22864
3.034288,tfmini,312,1878
3.042504,tfmini,1848,22937
3.059800,tfmini,313,1886
3.076672,tfmini,312,1891
3.078096,tfmini,312,1878
3.097612,tfmini,312,1886
3.100120,tfmini,312,1866
3.109448,tfmini,311,1872
3.110872,tfmini,311,1872
3.116320,tfmini,311,1876
3.130388,tfmini,313,1873
3.152080,tfmini,312,1890
3.156432,tfmini,312,1886
3.162832,tfmini,313,1883
3.167944,tfmini,312,1898
3.173388,tfmini,312,1878
3.174812,tfmini,312,1878
3.180656,tfmini,311,1876
3.200224,tfmini,312,1874
3.202616,tfmini,312,1890
3.205040,tfmini,312,1872
3.209236,tfmini,313,2386
3.213696,tfmini,312,4197
3.216816,tfmini,312,1885
3.218240,tfmini,312,39184
3.227848,tfmini,313,1870
3.233016,tfmini,312,1885
3.234440,tfmini,312,1885
3.237464,tfmini,312,1880
3.240972,tfmini,312,1896
3.243848,tfmini,312,2387
3.257208,tfmini,312,1889
3.266672,tfmini,312,1876
3.273792,tfmini,312,1885
3.275232,tfmini,312,1889
3.278112,tfmini,311,1867
3.296920,tfmini,311,1897
3.298368,tfmini,311,1877
3.300760,tfmini,311,1886
3.322128,tfmini,313,1881
3.330344,tfmini,312,1891
3.342696,tfmini,312,1885
3.357744,tfmini,312,1883
3.371432,tfmini,312,1873
3.374824,tfmini,312,1872
3.376240,tfmini,312,1872
3.380728,tfmini,312,1868
3.383000,tfmini,312,1878
3.385400,tfmini,22873,313
3.405184,tfmini,312,1898
3.406616,tfmini,312,1898
3.408040,tfmini,312,1896
3.419216,tfmini,312,1872
3.429272,tfmini,313,1887
3.433508,tfmini,312,1884
3.435896,tfmini,312,1878
3.437352,tfmini,312,1878
3.454928,tfmini,313,1869
3.456352,tfmini,313,1869
3.471976,tfmini,312,1888
3.473392,tfmini,312,1873
3.474856,tfmini,312,1873
3.478944,tfmini,313,1873
3.483520,tfmini,313,4103
3.492000,tfmini,312,1886
3.497048,tfmini,312,1882
3.508560,tfmini,312,1889
3.517512,tfmini,312,1864
3.520024,tfmini,312,1895
3.536648,tfmini,312,1885
3.539032,tfmini,312,1889
3.549368,tfmini,312,1878
3.557968,tfmini,313,39399
3.563940,tfmini,312,1895
3.573032,tfmini,312,1862
3.574448,tfmini,312,1893
