config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
2591,True,True,4000.0,0.03836779,0.0001043861,0.008635199999999999,0.618,0.00863,3.61493,1.64192,1.87794635,2.69075046,0.6179931,1.45391909,-5.25691392,2627.97480142
2592,True,True,4000.0,0.00733222,1.60429e-05,0.0032400000000000007,0.07292,0.001366,0.57219,1.01378,9.261e-05,0.06993174,0.00739937,0.00163897,-0.0426254,3943.71682543
2593,True,False,4000.0,0.02222187,5.12956e-05,0.006373499999999999,0.0345,0.002464,1.03212,0.15826,0.0,0.0,0.0,0.0,0.0,4000.0
2594,True,False,4000.0,0.02170334,4.16458e-05,0.005826600000000001,0.2018,0.003115,1.30481,0.94782,0.0,0.0,0.0,0.0,0.0,4000.0
2595,True,True,4000.0,0.00660257,1.51329e-05,0.0019440000000000004,0.08237,0.001022,0.42809,1.27171,0.29066683,1.34332217,0.32908816,0.40656784,-2.31667963,3274.38058091
2596,True,True,4000.0,0.00778228,2.72151e-05,0.0041136,0.3157,0.004468,1.87155,4.13522,2.94719695,3.18664495,0.5447289,2.60983601,-4.80840351,1514.21356378
2597,False,False,4000.0,0.01104624,4.11556e-05,0.0032351999999999997,,,,,,,,,,
2598,True,True,4000.0,0.00524248,1.62056e-05,0.0018231000000000002,0.1327,0.00153,0.64088,2.58027,4.09981824,4.30337962,0.96773031,2.22454601,-5.85350289,2017.42151962
2599,True,True,4000.0,0.02622256,5.56481e-05,0.006455999999999998,0.3018,0.003604,1.50964,1.17321,0.14373647,1.02982286,0.29844671,0.24996125,-1.65824833,3450.65334553
2600,True,False,4000.0,0.01785831,3.50876e-05,0.0066336,0.1597,0.01568,6.56802,0.91158,0.0,0.0,0.0,0.0,0.0,4000.0
2601,True,False,4000.0,0.02546843,6.33659e-05,0.0083136,0.1717,0.008374,3.50769,0.68723,0.0,0.0,0.0,0.0,0.0,4000.0
2602,True,True,4000.0,0.00848735,2.14403e-05,0.0034040000000000003,0.1889,0.002304,0.9651,2.26877,2.78859858,3.33126052,0.77129483,1.90636024,-5.22122201,2139.4588598
2603,True,True,4000.0,0.00920963,2.31285e-05,0.0047052000000000005,0.3235,0.00413,1.72997,3.58066,2.63586403,2.85760621,0.43496532,2.51913065,-4.78597891,1626.17513498
2604,True,True,4000.0,0.01136902,2.39088e-05,0.0041385,0.1623,0.005095,2.13419,1.45521,0.14256531,0.71792407,0.19041296,0.39840159,-1.64184165,2799.04780425
2605,True,True,4000.0,0.01872891,5.88214e-05,0.0060304,0.4872,0.006808,2.85173,2.65171,2.11757686,2.53181751,0.41127649,2.12345936,-5.1492231,2040.86261226
2606,True,True,4000.0,0.0164752,4.50593e-05,0.0065367,0.4541,0.01143,4.78779,2.80965,1.14192354,1.54001496,0.30986251,1.85225269,-4.05944368,1683.0623333
2607,True,False,4000.0,0.01155869,3.12188e-05,0.004231799999999999,0.06919,0.005424,2.272,0.61019,0.0,0.0,0.0,0.0,0.0,4000.0
2608,True,True,4000.0,0.01198366,3.85375e-05,0.00459,0.4046,0.004994,2.09188,3.44166,6.17995451,4.96875493,1.579173,3.20188531,-5.87692349,1610.69425119
2609,False,False,4000.0,0.00757345,2.78444e-05,0.0035924999999999998,,,,,,,,,,
2610,True,True,4000.0,0.01702042,3.93447e-05,0.005640000000000001,0.2761,0.003169,1.32743,1.65359,1.50703282,2.55681051,0.60831437,1.23219402,-4.59532609,2691.24183973
2611,True,True,4000.0,0.02046244,4.94617e-05,0.006311249999999999,0.4672,0.006056,2.53673,2.32743,3.12974022,3.28746787,0.72647728,2.19647841,-5.76686906,2065.0719578
2612,True,True,4000.0,0.01602034,4.19286e-05,0.005344,0.3189,0.003566,1.49372,2.02915,2.30837205,3.17616253,0.5298912,1.63548021,-5.23706653,2390.27833755
2613,True,True,4000.0,0.01039209,3.11392e-05,0.003758,0.2816,0.003206,1.34293,2.76224,4.68556258,4.53990253,1.21869753,2.46906729,-5.87515675,1907.61171087
2614,False,False,4000.0,0.00816487,1.65526e-05,0.00303,,,,,,,,,,
2615,True,True,4000.0,0.00988505,3.15406e-05,0.004216999999999999,0.1445,0.002288,0.9584,1.49012,0.50846526,1.63107484,0.37042899,0.63848998,-2.92819027,2996.5952703
2616,True,True,4000.0,0.00584823,1.30796e-05,0.0024549999999999997,0.07327,0.001879,0.78707,1.27712,0.08666077,0.66093493,0.15617511,0.2507911,-1.28713558,3178.69130749
2617,True,False,4000.0,0.01709595,2.46862e-05,0.004416,0.1312,0.002204,0.92321,0.7823,0.0,0.0,0.0,0.0,0.0,4000.0
2618,True,True,4000.0,0.0253237,9.2456e-05,0.007212000000000001,0.5614,0.007875,3.29867,2.25983,3.87061149,3.7599714,0.81764121,2.45537522,-6.17782656,2186.4486213
2619,True,False,4000.0,0.02627821,6.84399e-05,0.005321200000000001,0.09592,0.001677,0.70246,0.37209,0.0,0.0,0.0,0.0,0.0,4000.0
2620,True,True,4000.0,0.00847072,1.95351e-05,0.0027288,0.1254,0.002395,1.00322,1.50907,0.35525535,1.14714677,0.30612163,0.6373738,-2.53544589,2805.15202348
2621,True,True,4000.0,0.01073839,3.94048e-05,0.0028155,0.1572,0.001569,0.65722,1.49226,1.66285763,3.40093827,0.63460678,0.98918768,-4.9255374,3028.49945081
2622,False,False,4000.0,0.01043587,2.89087e-05,0.0036125999999999997,,,,,,,,,,
2623,True,True,4000.0,0.00591644,1.8981e-05,0.0017850000000000001,0.1406,0.001586,0.66434,2.42246,4.66035945,4.39162599,0.98562987,2.5236384,-6.2709859,2069.51951711
2624,True,False,4000.0,0.02461824,5.12507e-05,0.0072499999999999995,0.1751,0.004438,1.85899,0.72504,0.0,0.0,0.0,0.0,0.0,4000.0
