timestamp_sec,source,value1,value2
2.284832,tfmini,1,3600
2.290432,tfmini,0,3615
2.302080,tfmini,0,3624
2.310088,tfmini,1,3624
2.335696,tfmini,1,3596
2.340928,tfmini,0,3602
2.354412,tfmini,0,3608
2.360736,tfmini,1,3621
2.365840,tfmini,0,3605
2.370816,tfmini,0,3615
2.375920,tfmini,0,3615
2.382608,tfmini,1,3611
2.394264,tfmini,1,3596
2.397552,tfmini,0,3623
2.414796,tfmini,1,3617
2.417136,tfmini,1,3598
2.434068,tfmini,0,3607
2.438312,tfmini,1,3606
2.440760,tfmini,1,3622
2.457652,tfmini,0,3623
2.474656,tfmini,1,3610
2.477928,tfmini,0,3614
2.488504,tfmini,1,3616
2.503200,tfmini,0,3622
2.509648,tfmini,1,3604
2.513760,tfmini,1,3621
2.525176,tfmini,0,3593
2.531616,tfmini,1,3625
2.540336,tfmini,1,3612
2.556824,tfmini,1,3618
2.566104,tfmini,0,3621
2.573384,tfmini,0,3611
2.574720,tfmini,0,22798
2.576592,tfmini,1,3609
2.584512,tfmini,1,22873
2.589336,tfmini,0,3612
2.597728,tfmini,1,3622
2.602960,tfmini,1,3620
2.606480,tfmini,0,3615
2.631664,tfmini,1,3617
2.640520,tfmini,1,3614
2.653496,tfmini,0,3618
2.654824,tfmini,1,3618
2.656156,tfmini,1,3618
2.658488,tfmini,1,3602
2.665528,tfmini,0,3605
2.675116,tfmini,1,3628
2.680456,tfmini,0,3610
2.694040,tfmini,1,3610
2.697320,tfmini,0,3620
2.698648,tfmini,0,3620
2.702176,tfmini,0,3611
2.707520,tfmini,0,3620
2.716032,tfmini,0,3634
2.720160,tfmini,0,3620
2.727208,tfmini,0,3619
2.736668,tfmini,1,3602
2.739096,tfmini,1,3615
2.752576,tfmini,0,3612
2.757784,tfmini,1,3624
2.762744,tfmini,0,3621
2.764080,tfmini,0,3621
2.775368,tfmini,1,3602
2.791284,tfmini,1,3621
2.798696,tfmini,1,3611
2.800028,tfmini,1,3611
2.815456,tfmini,0,3614
2.822876,tfmini,0,3606
2.828984,tfmini,1,3616
2.864960,tfmini,1,3608
2.868344,tfmini,1,3606
2.870532,tfmini,1,3606
2.884656,tfmini,0,3606
2.888040,tfmini,0,3617
2.892400,tfmini,1,3620
2.897024,tfmini,1,3624
2.899344,tfmini,1,3619
2.915288,tfmini,0,3620
2.918720,tfmini,0,3606
2.924176,tfmini,1,3626
2.926280,tfmini,1,3628
2.935504,tfmini,1,3621
2.945216,tfmini,1,3623
2.956272,tfmini,1,3598
2.962600,tfmini,1,3635
2.975828,tfmini,1,3617
2.977192,tfmini,1,3628
2.985960,tfmini,1,3616
2.993248,tfmini,0,3612
2.997376,tfmini,0,3617
3.005512,tfmini,0,39182
3.007408,tfmini,0,3608
3.015184,tfmini,1,22937
3.018024,tfmini,1,3628
3.021280,tfmini,1,3609
3.044504,tfmini,1,3619
3.048864,tfmini,1,3599
3.064148,tfmini,0,3610
3.095296,tfmini,0,3605
3.097592,tfmini,0,3618
3.098924,tfmini,0,3615
3.109996,tfmini,0,3618
3.115072,tfmini,0,3626
3.118448,tfmini,1,3613
3.135840,tfmini,0,3629
3.142272,tfmini,0,3629
3.154560,tfmini,0,3625
3.157880,tfmini,0,3610
3.164320,tfmini,1,3618
3.165688,tfmini,1,3618
3.178680,tfmini,0,3605
3.185952,tfmini,0,3617
3.193136,tfmini,1,3607
3.204456,tfmini,1,3609
3.221196,tfmini,0,3606
3.237092,tfmini,0,3606
3.240368,tfmini,0,3615
3.242664,tfmini,0,3613
