timestamp_sec,source,value1,value2
137.823104,laser,11,
137.854782,tfmini,246,1832
137.864700,tfmini,287,1744
137.867172,tfmini,290,1758
137.884414,tfmini,297,1643
137.886917,tfmini,295,1631
137.888442,tfmini,294,1628
137.892898,tfmini,296,1635
137.894424,tfmini,297,39177
137.904251,tfmini,303,1537
137.919113,tfmini,309,1576
137.924636,tfmini,309,1555
137.937011,tfmini,303,1609
137.941665,tfmini,301,1642
137.945404,tfmini,304,1537
137.952377,tfmini,310,1773
137.956344,tfmini,309,1591
137.958847,tfmini,307,1552
137.966552,tfmini,298,1637
137.973342,tfmini,301,1731
137.999679,tfmini,296,1741
138.001190,tfmini,297,1590
138.010620,tfmini,298,1745
138.019058,tfmini,301,39177
138.036224,tfmini,308,1854
138.051116,tfmini,306,1833
138.055587,tfmini,303,1821
138.057083,tfmini,303,1810
138.065444,tfmini,39211,10841
138.068054,tfmini,296,1814
138.076354,tfmini,295,1784
138.078475,tfmini,10137,5889
138.080184,tfmini,295,1815
138.087051,tfmini,7209,39321
138.090621,tfmini,302,1823
138.092163,tfmini,302,1823
138.095733,tfmini,301,1827
138.099578,tfmini,298,39176
138.108352,tfmini,259,1782
138.119934,tfmini,268,1825
138.136703,tfmini,284,1795
138.145278,tfmini,269,2546
138.148529,tfmini,269,1791
138.156158,tfmini,280,1788
138.172668,tfmini,285,1780
138.175262,tfmini,286,1787
138.182159,tfmini,290,1798
138.184326,tfmini,291,63740
138.186523,tfmini,9049,64513
138.191772,tfmini,289,1770
138.194488,tfmini,286,1744
138.206497,tfmini,268,1569
138.209930,tfmini,273,1575
138.219360,tfmini,289,1731
138.232192,tfmini,305,1744
138.235641,tfmini,308,1747
138.237213,tfmini,308,1747
138.252090,tfmini,301,1627
138.270858,tfmini,303,1616
138.281860,tfmini,303,1640
138.285308,tfmini,304,1660
138.306396,tfmini,303,1646
138.308914,tfmini,300,1638
138.311386,tfmini,298,1634
138.314880,tfmini,296,1539
138.328170,tfmini,305,1749
138.346389,tfmini,289,1575
138.366363,tfmini,299,1791
138.375457,tfmini,304,1797
138.386459,tfmini,306,1833
138.389572,tfmini,306,1827
