timestamp_sec,source,value1,value2
265.677154,tfmini,44,1567
265.678619,tfmini,51,1540
265.684997,tfmini,285,2029
265.693695,tfmini,285,23025
265.699523,tfmini,285,2047
265.709686,tfmini,285,2039
265.711212,tfmini,285,2039
265.712738,tfmini,285,2020
265.721527,tfmini,284,2032
265.725036,tfmini,284,2047
265.738433,tfmini,285,2041
265.739959,tfmini,285,2040
265.747589,tfmini,285,2028
265.753387,tfmini,284,2043
265.756835,tfmini,36609,39321
265.758911,tfmini,285,2054
265.762268,tfmini,285,2021
265.766448,tfmini,22812,7257
265.771575,tfmini,284,23020
265.773651,tfmini,285,2031
265.780761,tfmini,285,2030
265.782745,tfmini,285,2045
265.790985,tfmini,285,2052
265.793487,tfmini,285,2025
265.795989,tfmini,285,2026
265.802398,tfmini,2333,22935
265.804595,tfmini,285,2029
265.807373,tfmini,285,2045
265.809967,tfmini,285,2016
265.818786,tfmini,285,2038
265.829925,tfmini,7577,63745
265.837585,tfmini,285,2044
265.839630,tfmini,285,2035
265.842864,tfmini,285,2031
265.854858,tfmini,285,2032
265.857330,tfmini,285,2038
265.864440,tfmini,285,2021
265.867340,tfmini,284,2025
265.875793,tfmini,284,2025
265.880096,tfmini,285,2006
265.894531,tfmini,284,1840
265.901977,tfmini,284,1845
265.908996,tfmini,284,2000
265.917816,tfmini,285,1991
265.920349,tfmini,285,1843
265.934967,tfmini,285,1852
265.938476,tfmini,285,1848
265.943054,tfmini,284,1997
265.945434,tfmini,284,1843
265.951324,tfmini,285,1852
265.954284,tfmini,50972,39321
265.960540,tfmini,284,2504
265.962677,tfmini,283,2004
265.968139,tfmini,284,1991
265.978881,tfmini,284,1902
265.988311,tfmini,285,1840
265.993103,tfmini,284,1868
265.998992,tfmini,284,1795
266.012634,tfmini,284,1799
266.016113,tfmini,284,1847
266.023223,tfmini,284,2024
266.028045,tfmini,284,2027
266.029541,tfmini,284,2027
266.033752,tfmini,284,2022
266.038055,tfmini,284,2012
266.044067,tfmini,285,2035
266.065368,tfmini,285,2040
266.074523,tfmini,285,2034
266.077117,tfmini,285,2037
266.088409,tfmini,285,2041
266.089904,tfmini,284,2037
266.091461,tfmini,284,2037
266.092956,tfmini,284,2035
266.100341,tfmini,7833,61697
266.103790,tfmini,285,2048
266.117126,tfmini,285,2032
266.120697,tfmini,284,2033
266.131988,tfmini,285,2033
266.135467,tfmini,286,2028
266.137023,tfmini,286,2028
266.154693,tfmini,285,2049
266.162170,tfmini,285,2026
266.164184,tfmini,285,2036
266.167694,tfmini,285,2044
266.171264,tfmini,285,22927
266.177337,tfmini,285,2039
266.179901,tfmini,285,39418
266.183044,tfmini,285,2035
266.192565,tfmini,285,2037
266.199920,tfmini,7513,63745
266.221130,tfmini,285,2025
266.222686,tfmini,285,2038
266.227111,tfmini,284,2024
266.233764,tfmini,285,2038
266.238830,tfmini,285,2040
266.256286,tfmini,285,2022
266.258758,tfmini,284,1998
266.288909,tfmini,285,1997
266.294281,tfmini,285,1854
266.296813,tfmini,285,1849
266.298309,tfmini,285,22841
266.301605,tfmini,285,1827
266.308380,tfmini,285,1993
266.310546,tfmini,285,14295
266.316986,tfmini,284,1986
266.322540,tfmini,285,1848
266.331451,tfmini,285,1841
266.353546,tfmini,284,1818
266.355041,tfmini,284,1818
266.359619,tfmini,285,1891
266.365905,tfmini,285,1846
266.368804,tfmini,284,1885
266.371307,tfmini,284,1810
266.376220,tfmini,285,1831
266.387329,tfmini,285,1997
266.389831,tfmini,285,2005
266.396820,tfmini,284,2031
266.401672,tfmini,285,2028
266.409637,tfmini,285,39257
266.415710,tfmini,285,2042
266.434020,tfmini,285,2019
266.436492,tfmini,284,2041
266.443054,tfmini,285,39319
266.462554,tfmini,285,2038
266.476043,tfmini,285,2012
266.489440,tfmini,285,2043
266.502746,tfmini,284,2036
266.508117,tfmini,285,2029
266.511474,tfmini,29,39177
266.513488,tfmini,285,2025
266.544189,tfmini,285,2044
266.546783,tfmini,284,2040
266.548339,tfmini,284,2040
266.555908,tfmini,285,2029
266.560516,tfmini,285,2026
266.567871,tfmini,285,2024
266.575500,tfmini,285,2040
266.580535,tfmini,285,2030
266.589721,tfmini,285,2047
266.593322,tfmini,285,2029
266.603729,tfmini,285,2041
266.607330,tfmini,285,2025
266.608856,tfmini,285,2041
266.615753,tfmini,285,22937
266.623138,tfmini,284,2018
266.635498,tfmini,285,2014
266.652709,tfmini,283,1843
266.663208,tfmini,285,2008
266.672149,tfmini,284,1985
266.678588,tfmini,284,1830
266.680084,tfmini,284,1843
266.681640,tfmini,284,1843
266.710388,tfmini,284,1819
266.723937,tfmini,284,1810
266.734161,tfmini,284,1891
266.740661,tfmini,285,1817
266.743194,tfmini,284,22791
266.753021,tfmini,283,1834
266.756469,tfmini,284,1844
266.762542,tfmini,284,1985
266.799224,tfmini,284,2036
266.805755,tfmini,284,2040
266.813964,tfmini,2332,39321
266.826293,tfmini,284,2058
266.842041,tfmini,284,2040
266.843597,tfmini,284,2040
266.847167,tfmini,284,2044
266.852813,tfmini,285,2032
266.54370,tfmini,285,2032
266.874969,tfmini,284,2064
266.886810,tfmini,284,2085
266.893188,tfmini,283,2095
266.901885,tfmini,284,2085
266.909332,tfmini,284,2091
266.913208,tfmini,283,2098
266.920471,tfmini,284,2106
266.928070,tfmini,283,2087
266.933258,tfmini,283,2083
266.936889,tfmini,283,22937
266.938934,tfmini,284,2090
266.944580,tfmini,284,2095
266.946472,tfmini,283,2084
266.947998,tfmini,2075,55552
266.961395,tfmini,283,2064
266.967987,tfmini,284,2049
266.987304,tfmini,284,2032
266.991851,tfmini,284,2030
266.997894,tfmini,284,2029
267.021148,tfmini,284,1991
267.026641,tfmini,284,1991
267.031372,tfmini,283,1851
267.034973,tfmini,283,1833
267.049987,tfmini,284,1987
