timestamp_sec,source,value1,value2
257.621398,tfmini,281,2061
257.622924,tfmini,281,2046
257.629333,tfmini,281,2045
257.635467,tfmini,281,2044
257.639404,tfmini,281,2065
257.644561,tfmini,282,2056
257.656921,tfmini,281,2060
257.658447,tfmini,281,2049
257.681579,tfmini,281,2052
257.692718,tfmini,282,2047
257.697143,tfmini,282,2046
257.700744,tfmini,282,2044
257.708068,tfmini,280,2046
257.711914,tfmini,281,2051
257.713439,tfmini,281,2051
257.721923,tfmini,282,2042
257.724151,tfmini,281,2042
257.728637,tfmini,282,2054
257.754211,tfmini,281,2056
257.762786,tfmini,281,2321
257.785186,tfmini,281,2050
257.803253,tfmini,282,2069
257.812072,tfmini,282,2041
257.814514,tfmini,280,2038
257.817077,tfmini,280,2066
257.819702,tfmini,281,2045
257.822692,tfmini,281,2046
257.837463,tfmini,281,2084
257.839050,tfmini,281,2062
257.845489,tfmini,281,2074
257.851165,tfmini,281,2068
257.852722,tfmini,281,2068
257.856567,tfmini,281,2063
257.860168,tfmini,281,22798
257.872558,tfmini,281,2071
257.879028,tfmini,281,2072
257.881561,tfmini,281,39177
257.883728,tfmini,281,2065
257.892547,tfmini,282,2047
257.894073,tfmini,282,2047
257.903625,tfmini,281,2041
257.905975,tfmini,282,2056
257.909484,tfmini,282,2048
257.920104,tfmini,282,2032
257.933197,tfmini,281,2039
257.939575,tfmini,282,2051
257.942077,tfmini,281,23024
257.944244,tfmini,281,2029
257.949066,tfmini,281,2037
257.961151,tfmini,282,2034
257.964599,tfmini,281,2051
257.970520,tfmini,282,2057
257.982757,tfmini,281,2042
257.986206,tfmini,281,2066
257.995483,tfmini,281,2057
257.997070,tfmini,281,2057
258.009368,tfmini,281,2065
258.040649,tfmini,281,2057
258.045196,tfmini,281,2062
258.048645,tfmini,281,2044
258.050170,tfmini,2329,22937
258.055328,tfmini,281,2041
258.058654,tfmini,281,23001
258.073944,tfmini,281,2058
258.075500,tfmini,281,2050
258.076995,tfmini,281,2050
258.079498,tfmini,6553,62721
258.085845,tfmini,281,39178
258.088775,tfmini,281,2049
258.095428,tfmini,282,2058
258.099517,tfmini,281,2061
258.103973,tfmini,282,39257
258.113525,tfmini,281,2068
258.121917,tfmini,281,2049
258.131561,tfmini,281,2046
258.135040,tfmini,282,2053
258.140808,tfmini,282,2048
258.147399,tfmini,281,2062
258.156280,tfmini,280,23035
258.166625,tfmini,281,2056
258.169830,tfmini,6553,62721
258.172546,tfmini,281,2040
