timestamp_sec,source,value1,value2
605.840759,laser,4,
605.858886,tfmini,233,1488
605.870300,tfmini,234,1499
605.875915,tfmini,234,1501
605.884277,tfmini,233,1492
605.893371,tfmini,233,1496
605.896972,tfmini,233,1502
605.902404,tfmini,233,39316
605.906860,tfmini,232,1496
605.911437,tfmini,2536,22937
605.915405,tfmini,232,1499
605.925170,tfmini,233,1487
605.927673,tfmini,233,1501
605.935546,tfmini,232,22873
605.937622,tfmini,232,1498
605.961853,tfmini,233,1494
605.964416,tfmini,233,1500
605.968017,tfmini,232,1498
605.978027,tfmini,233,1520
605.984497,tfmini,233,1491
605.988342,tfmini,232,1480
605.990905,tfmini,232,1496
605.993835,tfmini,232,1495
606.027648,tfmini,233,1503
606.055603,tfmini,232,1504
606.060119,tfmini,233,1520
606.068298,tfmini,234,23009
606.075134,tfmini,234,1510
606.076660,tfmini,233,1508
606.079772,tfmini,233,1494
606.081298,tfmini,232,1511
606.085388,tfmini,233,1511
606.089355,tfmini,233,1511
606.094665,tfmini,233,23023
606.099121,tfmini,233,1497
606.112243,tfmini,233,1510
606.140258,tfmini,233,1499
606.141845,tfmini,233,1513
606.154418,tfmini,233,1494
606.158874,tfmini,233,1503
606.160461,tfmini,233,1506
606.191894,tfmini,232,1507
606.193420,tfmini,232,1489
606.208923,tfmini,232,1510
606.210449,tfmini,232,1510
606.211975,tfmini,233,1494
606.231872,tfmini,232,1513
606.233398,tfmini,233,1504
606.237976,tfmini,232,1508
606.241516,tfmini,232,1508
606.245056,tfmini,232,1506
606.246520,tfmini,232,1493
606.249572,tfmini,232,1495
606.251159,tfmini,232,23014
606.275939,tfmini,232,1503
606.281250,tfmini,233,1493
606.285400,tfmini,233,1497
606.287780,tfmini,233,1511
606.295227,tfmini,233,1504
606.297302,tfmini,233,1508
606.308654,tfmini,234,1494
606.312988,tfmini,234,1493
606.322570,tfmini,233,1489
606.332763,tfmini,232,1499
606.339416,tfmini,232,1494
606.342407,tfmini,232,1515
606.348388,tfmini,233,23004
606.353393,tfmini,233,1512
606.358215,tfmini,233,1495
606.364013,tfmini,233,1491
606.365539,tfmini,233,1493
606.368591,tfmini,233,1522
606.389160,tfmini,233,1502
606.392761,tfmini,233,1513
606.394287,tfmini,233,1513
606.401245,tfmini,233,22937
606.403259,tfmini,233,39173
606.422912,tfmini,233,1498
606.426452,tfmini,233,1509
606.434753,tfmini,55529,39257
606.442993,tfmini,233,1512
606.445861,tfmini,233,1504
606.451354,tfmini,232,1501
606.461853,tfmini,234,1493
606.469360,tfmini,232,1490
606.481811,tfmini,233,1494
606.490417,tfmini,233,1506
606.492675,tfmini,233,1520
606.496215,tfmini,232,1492
606.502319,tfmini,232,1494
606.508483,tfmini,232,1507
606.516296,tfmini,233,23008
606.520446,tfmini,233,1511
606.528320,tfmini,233,23008
606.531250,tfmini,232,1496
606.539611,tfmini,232,1503
606.549804,tfmini,232,1508
606.560791,tfmini,232,1509
606.565429,tfmini,233,1497
606.567016,tfmini,233,1492
606.577514,tfmini,233,1500
606.580017,tfmini,233,1496
606.623596,tfmini,232,1504
606.625976,tfmini,232,1506
606.629516,tfmini,232,1503
606.631042,tfmini,232,1501
606.641296,tfmini,232,1500
606.653381,tfmini,234,1578
606.654907,tfmini,236,1578
606.661193,tfmini,248,1579
606.669677,tfmini,262,39284
606.679138,tfmini,269,2024
606.684692,tfmini,271,2054
606.697265,tfmini,259,2125
606.698791,tfmini,256,2125
606.701293,tfmini,246,2081
606.702819,tfmini,239,2337
606.711364,tfmini,39257,116
606.714904,tfmini,155,4363
606.726013,tfmini,54,5739
606.742675,tfmini,29,7944
606.748229,tfmini,23,1836
606.766906,tfmini,4,2043
606.772094,tfmini,3,1808
606.774658,tfmini,3,1906
606.792785,tfmini,3,1390
606.801208,tfmini,3,12831
606.810607,tfmini,2,1267
606.833618,tfmini,2,1403
606.837829,tfmini,3,1311
606.847534,tfmini,3,1607
606.857604,tfmini,3,1996
606.883300,tfmini,1,3129
606.896179,tfmini,0,3356
606.907592,tfmini,0,3598
606.909973,tfmini,0,3617
606.953979,tfmini,0,2344
606.956542,tfmini,0,2284
606.971191,tfmini,0,1820
606.977416,tfmini,0,1862
606.992004,tfmini,1,1845
606.998413,tfmini,1,1864
607.011840,tfmini,4,1839
607.025939,tfmini,3,2311
607.030212,tfmini,2,2421
607.044189,tfmini,0,2658
607.053039,tfmini,0,2774
607.064697,tfmini,0,2620
607.081420,tfmini,1,2302
607.094909,tfmini,2,1826
607.103881,tfmini,5,1554
607.109191,tfmini,8,1555
607.118530,tfmini,21,1082
607.142211,tfmini,53,4393
607.156372,tfmini,131,3866
607.184143,tfmini,149,3195
607.201354,tfmini,242,2629
607.202819,tfmini,245,2629
607.211059,tfmini,2457,3072
607.220947,tfmini,34,2302
607.228210,tfmini,57,2065
607.229675,tfmini,61,2170
607.238403,tfmini,224,2108
607.259948,tfmini,247,2072
607.273864,tfmini,249,2056
