config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_aero_m,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,False,1500.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.03397,0.0005024,0.07892,0.19256,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
1,False,False,1500.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,,
2,True,False,1500.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,0.07311,0.002432,0.38202,0.27048,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
3,True,False,1500.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,0.05432,0.0007624,0.11976,0.26498,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
4,True,False,1500.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.00785,0.0003528,0.05542,0.05539,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
5,True,False,1500.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.03017,0.000783,0.12299,0.15134,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
6,True,False,1500.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.02422,0.001286,0.202,0.13618,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
7,True,False,1500.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.02462,0.0004854,0.07625,0.16016,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
8,True,False,1500.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.0483,0.002779,0.43652,0.24417,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
9,True,False,1500.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.01277,0.001171,0.18394,0.0656,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
10,True,False,1500.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.04996,0.001323,0.20782,0.18598,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
11,True,False,1500.0,0.03222607,8.411298851052964e-05,0.0088584,0.001928457687290612,0.05232,0.0008803,0.13828,0.1655,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
12,True,False,1500.0,0.00976235,3.3988460143788375e-05,0.0041155,0.0017016328079049702,0.01409,0.001397,0.21944,0.14713,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
13,True,False,1500.0,0.02179028,5.174919677395116e-05,0.006902400000000001,0.0016969474460618956,0.07418,0.001309,0.20562,0.34702,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
14,True,False,1500.0,0.02041978,4.700266621036365e-05,0.0057728,0.0015452705929900998,0.007897,0.002132,0.33489,0.03942,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
15,True,False,1500.0,0.00615075,1.457128368491114e-05,0.002695,0.001316196766232148,0.00849,0.0001637,0.02571,0.14071,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
16,True,False,1500.0,0.01981354,6.157760503821192e-05,0.0050634,0.0016683803079049699,0.03177,0.0004264,0.06698,0.16345,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
17,True,False,1500.0,0.02045504,4.1849380610149936e-05,0.006112799999999999,0.0017582584185128554,0.03167,0.001361,0.21379,0.15783,0.0,0.29570568,0.0,0.0,0.0,0.0,1500.0
