config_id,volume_L,volume_m3,stl_ok,single_solid
0,0.0180225358318455,1.80225358318456e-05,True,True
1,0.0129150200008341,1.2915020000834106e-05,True,True
2,0.027613553009787,2.7613553009787023e-05,True,True
3,0.0209425390744242,2.094253907442428e-05,True,True
4,0.0144789471154917,1.4478947115491702e-05,True,True
5,0.0203665557356905,2.0366555735690588e-05,True,True
6,0.0181695163123852,1.816951631238527e-05,True,True
7,0.0157048458341942,1.5704845834194275e-05,True,True
8,0.0202092965529207,2.020929655292078e-05,True,True
9,0.0198886190750209,1.9888619075020983e-05,True,True
10,0.0274437216827396,2.744372168273966e-05,True,True
11,0.0322971389538001,3.22971389538002e-05,True,True
12,0.0097838809935694,9.783880993569423e-06,True,True
13,0.0218383371139829,2.1838337113982983e-05,True,True
14,0.0204648085983422,2.0464808598342207e-05,True,True
15,0.0061643171640626,6.164317164062606e-06,True,True
16,0.0198572394294886,1.9857239429488663e-05,True,True
17,0.0205001519029969,2.050015190299698e-05,True,True
18,0.0086293544448254,8.629354444825424e-06,True,True
19,0.0115924966342763,1.1592496634276393e-05,True,True
20,0.0216645398598114,2.166453985981142e-05,True,True
21,0.0321326192412919,3.213261924129192e-05,True,True
22,0.0069582460697611,6.958246069761134e-06,True,True
23,0.0251143521152827,2.511435211528273e-05,True,True
24,0.0160277152722104,1.6027715272210406e-05,True,True
25,0.0142308904619872,1.423089046198726e-05,True,True
26,0.0199521208412162,1.9952120841216263e-05,True,True
27,0.0214966575123322,2.149665751233222e-05,True,True
28,0.0081561009252566,8.15610092525669e-06,True,True
29,0.0288131978186211,2.881319781862116e-05,True,True
30,0.0099075499593556,9.907549959355623e-06,True,True
31,0.0276734850944858,2.7673485094485804e-05,True,True
32,0.0222916099761285,2.229160997612851e-05,True,True
33,0.0104471360947332,1.0447136094733233e-05,True,True
34,0.0051667812189584,5.166781218958446e-06,True,True
35,0.0423081130105473,4.230811301054738e-05,True,True
36,0.0089217234173281,8.921723417328148e-06,True,True
37,0.0161104965745582,1.6110496574558247e-05,True,True
38,0.0110018970303239,1.1001897030323938e-05,True,True
39,0.0058385484002745,5.83854840027459e-06,True,True
40,0.0215172678425129,2.151726784251297e-05,True,True
41,0.0064937487139774,6.49374871397745e-06,True,True
42,0.0146831509934471,1.4683150993447132e-05,True,True
43,0.0105393538172402,1.0539353817240294e-05,True,True
44,0.0110033186580759,1.100331865807593e-05,True,True
45,0.0117477455130263,1.1747745513026385e-05,True,True
46,0.0069670586537857,6.967058653785721e-06,True,True
47,0.0165880376771898,1.6588037677189833e-05,True,True
48,0.0135605132053536,1.3560513205353616e-05,True,True
49,0.0211332996490016,2.113329964900164e-05,True,True
50,0.0166093478219623,1.660934782196236e-05,True,True
51,0.0075900029610337,7.59000296103375e-06,True,True
52,0.0213075196840204,2.1307519684020448e-05,True,True
53,0.0162537294900465,1.6253729490046527e-05,True,True
54,0.0074954358538618,7.495435853861872e-06,True,True
55,0.0326019597342729,3.26019597342729e-05,True,True
56,0.0238101311294482,2.38101311294482e-05,True,True
57,0.0294886892042194,2.948868920421942e-05,True,True
58,0.0050505548756637,5.0505548756637565e-06,True,True
59,0.0085483011478479,8.54830114784797e-06,True,True
60,0.037091026445763,3.709102644576305e-05,True,True
61,0.0118965584138214,1.1896558413821435e-05,True,True
62,0.0080077038758013,8.007703875801387e-06,True,True
63,0.010637121952017,1.0637121952017058e-05,True,True
64,0.0069613348017995,6.961334801799544e-06,True,True
65,0.0181418254702219,1.814182547022196e-05,True,True
66,0.0095707990337428,9.570799033742891e-06,True,True
67,0.0067591325494574,6.759132549457452e-06,True,True
68,0.0364193420138566,3.641934201385664e-05,True,True
69,0.0293016454639663,2.9301645463966343e-05,True,True
70,0.0084545372021005,8.45453720210056e-06,True,True
71,0.013588741675864,1.3588741675864016e-05,True,True
72,0.0107480132329217,1.0748013232921768e-05,True,True
73,0.0148500394291855,1.4850039429185598e-05,True,True
74,0.0081221750560972,8.122175056097291e-06,True,True
75,0.0172982114970492,1.7298211497049223e-05,True,True
76,0.0118976766308321,1.189767663083216e-05,True,True
77,0.0182461013109917,1.824610131099173e-05,True,True
78,0.0102968215776189,1.0296821577618931e-05,True,True
79,0.0166291868985147,1.66291868985147e-05,True,True
80,0.0326979464384475,3.269794643844756e-05,True,True
81,0.0054585440479939,5.45854404799399e-06,True,True
82,0.0062895083313817,6.289508331381727e-06,True,True
83,0.0166536454483818,1.6653645448381894e-05,True,True
84,0.0081382855661045,8.13828556610459e-06,True,True
85,0.0149388847236524,1.4938884723652408e-05,True,True
86,0.0210804470928474,2.1080447092847423e-05,True,True
87,0.0398309264349793,3.983092643497935e-05,True,True
88,0.0084021871473632,8.402187147363238e-06,True,True
89,0.0105900606783407,1.0590060678340752e-05,True,True
90,0.0054803322441746,5.480332244174653e-06,True,True
91,0.0062512571220814,6.251257122081482e-06,True,True
92,0.0138798179243811,1.3879817924381128e-05,True,True
93,0.0129846312321774,1.2984631232177476e-05,True,True
94,0.0128506311759368,1.285063117593681e-05,True,True
95,0.01036034157715,1.0360341577150056e-05,True,True
96,0.0050050844760656,5.005084476065676e-06,True,True
97,0.0127034208182695,1.2703420818269508e-05,True,True
98,0.0206867853033821,2.068678530338216e-05,True,True
99,0.011360409475036,1.136040947503603e-05,True,True
100,0.0162555163884817,1.6255516388481725e-05,True,True
101,0.0080109060967046,8.010906096704618e-06,True,True
102,0.0121964290275073,1.2196429027507336e-05,True,True
103,0.0167394693711502,1.6739469371150278e-05,True,True
104,0.0074561413742522,7.456141374252257e-06,True,True
105,0.0142229795517444,1.4222979551744445e-05,True,True
106,0.0107298894106602,1.0729889410660232e-05,True,True
107,0.0079771495865349,7.97714958653496e-06,True,True
108,0.0192076160909007,1.920761609090077e-05,True,True
109,0.0050314555568871,5.031455556887163e-06,True,True
110,0.0059477739707757,5.947773970775767e-06,True,True
111,0.0461372366291837,4.6137236629183725e-05,True,True
112,0.0285974929583574,2.8597492958357468e-05,True,True
113,0.0164920898552056,1.649208985520567e-05,True,True
114,0.0154576436518271,1.5457643651827164e-05,True,True
115,0.0088615555103476,8.861555510347627e-06,True,True
116,0.0052573162570927,5.257316257092782e-06,True,True
117,0.0212959511506735,2.1295951150673592e-05,True,True
