config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,5500.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.4641,0.005277,3.03933,2.63077,4.33269,3.88430357,0.54905,2.60960738,-8.23312645,2726.67723024
1,False,False,5500.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,
2,True,True,5500.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,1.022,0.02171,12.50406,3.78108,2.42792823,2.02387465,0.25154936,3.2913789,-6.50973112,1986.38876373
3,True,True,5500.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,0.7389,0.008926,5.14101,3.60449,6.60266168,4.3401758,0.48325196,4.0156206,-9.46932406,2194.99670786
4,True,False,5500.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.1122,0.002009,1.1571,0.79167,0.0,0.0,0.0,0.0,0.0,5500.0
5,True,True,5500.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.4201,0.006933,3.99312,2.10728,3.64064331,3.33572347,0.64149943,2.40093967,-7.6337709,2905.14257496
6,True,True,5500.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.3424,0.01012,5.8287,1.92521,0.61460068,1.29675112,0.28072971,1.04761014,-3.41256875,3172.92982139
7,True,True,5500.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.3383,0.003894,2.24278,2.20068,2.16576838,2.88016607,0.37167353,1.78572401,-6.05482438,3275.07955162
8,True,True,5500.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.6897,0.02214,12.75172,3.48656,1.770456,1.77585647,0.23792118,2.63474558,-5.56456969,2026.0237591
9,True,False,5500.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.182,0.007319,4.21544,0.93488,0.0,0.0,0.0,0.0,0.0,5500.0
10,True,True,5500.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.6974,0.01268,7.30316,2.59613,2.18930235,2.11978283,0.36131592,2.50674506,-6.28729252,2445.67994984
11,True,True,5500.0,0.03222607,8.411298851052964e-05,0.0088584,0.001928457687290612,0.7158,0.008684,5.00162,2.2642,5.50302499,4.69916674,0.69856751,2.60699992,-9.33791826,3036.1042196
12,True,True,5500.0,0.00976235,3.3988460143788375e-05,0.0041155,0.0017016328079049702,0.2033,0.009316,5.36563,2.12282,0.59033924,1.26320591,0.21669568,1.05796275,-3.28866608,3008.52920786
