config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,6500.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.6493,0.00719,4.89408,3.68059,7.2709449,4.92283975,0.49579319,3.73504575,-9.9289875,2602.76497322
1,False,False,6500.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,
2,True,True,6500.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,1.434,0.02902,19.75329,5.30536,3.20906529,2.19225903,0.27557807,4.46834415,-7.34824366,1918.00214247
3,True,True,6500.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,1.033,0.01232,8.38596,5.03917,9.04934559,4.95322223,0.42640923,5.31340849,-10.42196836,2119.42778266
4,True,True,6500.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.1574,0.002538,1.72756,1.11059,0.05824407,0.78930636,0.26643737,0.12964039,-1.06662682,5925.29545402
5,True,True,6500.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.5889,0.00925,6.29628,2.95401,7.38477311,4.63122676,0.67068373,3.79634513,-9.86696574,2700.61267585
6,True,True,6500.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.4806,0.01326,9.0258,2.70227,1.21019347,1.63324126,0.24992716,1.802817,-4.70940346,3001.78254288
7,True,True,6500.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.4735,0.005161,3.51298,3.08016,3.47156314,3.45066288,0.34509286,2.6645996,-7.34566142,3204.18670721
8,True,True,6500.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.969,0.02906,19.78051,4.89847,2.46629036,1.97975397,0.21159889,3.65103412,-6.42501311,1942.23159907
9,True,True,6500.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.2554,0.009298,6.32895,1.31191,0.20437957,1.03995107,0.2876262,0.37693456,-1.98960369,5145.12683978
10,True,True,6500.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.9775,0.01711,11.64641,3.63883,3.28161098,2.41162936,0.32717174,3.68389322,-7.54309391,2337.11066059
11,True,True,6500.0,0.03222607,8.411298851052964e-05,0.0088584,0.001928457687290612,1.002,0.01178,8.01839,3.1695,10.78959704,6.4926624,0.76296678,3.94481371,-11.89039447,2875.70952315
12,True,True,6500.0,0.00976235,3.3988460143788375e-05,0.0041155,0.0017016328079049702,0.2857,0.01193,8.12049,2.98323,1.08097484,1.58237574,0.24744726,1.71333313,-4.32788515,2862.95890109
13,True,True,6500.0,0.02179028,5.174919677395116e-05,0.006902400000000001,0.0016969474460618956,1.419,0.0198,13.47743,6.6382,9.30145966,4.8307376,0.2910263,5.81576005,-10.79447996,1684.0420954
14,True,False,6500.0,0.02041978,4.700266621036365e-05,0.0057728,0.0015452705929900998,0.1747,0.02113,14.38273,0.87211,0.0,0.0,0.0,0.0,0.0,6500.0
15,True,True,6500.0,0.00615075,1.457128368491114e-05,0.002695,0.001316196766232148,0.1635,0.001674,1.13946,2.7097,4.37563318,4.71689783,0.63454893,2.21253058,-6.98390422,3373.66168073
16,True,True,6500.0,0.01981354,6.157760503821192e-05,0.0050634,0.0016683803079049699,0.6039,0.005741,3.90777,3.10695,11.12874106,7.9924211,0.83924945,3.33430937,-11.13562304,3122.2890713
17,True,True,6500.0,0.02045504,4.1849380610149936e-05,0.006112799999999999,0.0017582584185128554,0.6469,0.01385,9.4274,3.2238,2.52382952,2.14604476,0.37286315,3.04505527,-6.55260691,2474.24350048
18,True,True,6500.0,0.00861037,1.665607781060824e-05,0.004054800000000001,0.0013286168868465063,0.211,0.0038,2.58658,2.498,1.32489796,1.94024784,0.28995352,1.63646057,-4.76668676,3365.28879087
19,True,True,6500.0,0.01156699,3.9673999931320014e-05,0.004085999999999999,0.00178830155790497,0.6412,0.006814,4.63814,5.65072,14.48755597,8.26788409,2.40862214,4.71898168,-9.46432788,1945.78104118
