config_id,band,h_max_tier,subset,radius_mm,blade_count,inner_chord_mm,mid_chord_mm,outer_chord_mm,inner_angle_deg,mid_angle_deg,outer_angle_deg,mid_radial_pos,mass_g,mass_kg,izz,T_static_N,T_over_W,h_max_m,flight_time_s,v_impact_m_s
515,1,1,band1_tier1,61,5,6,29,12,23,15,12,0.7,19.555,0.019555,3.37164e-05,0.3317,1.72909,1.33017276,2.10842015,-4.51837617
628,1,1,band1_tier1,79,5,7,28,13,18,15,3,0.4,33.628,0.033628,8.75893e-05,0.4155,1.25951,0.41855576,1.56476137,-2.77517532
633,1,1,band1_tier1,61,6,6,15,13,22,16,12,0.4,12.189,0.012189,2.54642e-05,0.1961,1.63999,1.3634517,2.38415084,-4.38717695
725,1,1,band1_tier1,72,5,5,18,15,20,17,9,0.3,22.076999999999998,0.022077,6.0637e-05,0.2829,1.30624,0.54290519,1.66428613,-3.12053644
1244,1,1,band1_tier1,62,5,7,14,11,25,5,3,0.7,7.069,0.007069,1.46873e-05,0.1047,1.5098,0.5367189,1.60240665,-2.97965427
1365,1,1,band1_tier1,68,4,8,30,29,25,12,3,0.6,13.058,0.013058,3.01826e-05,0.219,1.70962,1.2596732,2.44614158,-4.09749123
1736,1,1,band1_tier1,68,6,6,10,10,18,17,4,0.3,9.07,0.00907,2.31681e-05,0.1266,1.42284,0.58365607,1.67925727,-3.11864738
1835,1,1,band1_tier1,76,5,5,30,29,24,12,11,0.4,39.544999999999995,0.039545,0.0001316024,0.6164,1.58892,0.55201765,1.32821539,-3.14769321
2040,1,1,band1_tier1,68,3,11,23,19,22,17,7,0.3,12.697,0.012697,2.85189e-05,0.1715,1.37687,0.72711429,2.08391621,-3.4984045
2057,1,1,band1_tier1,65,6,5,25,23,23,16,14,0.5,29.775,0.029775,7.72916e-05,0.4355,1.49096,1.23224697,2.25853275,-4.43310628
2552,1,1,band1_tier1,78,4,7,27,15,25,14,13,0.4,28.352999999999998,0.028353,8.82368e-05,0.3528,1.26841,0.68511527,2.10173685,-3.49026738
2567,1,1,band1_tier1,60,3,10,29,29,19,17,12,0.4,18.326999999999998,0.018327,4.87007e-05,0.2486,1.38274,1.07479281,2.32102717,-4.2066635
3281,1,1,band1_tier1,72,3,5,11,11,24,12,12,0.3,7.403,0.007403,2.48168e-05,0.1053,1.44995,1.17435171,2.78338828,-4.28349852
3305,1,1,band1_tier1,80,6,5,10,10,21,11,8,0.3,8.7,0.0087,3.02016e-05,0.2045,2.3961,1.12652024,2.00479841,-3.90848274
3308,1,1,band1_tier1,69,6,6,25,10,17,10,8,0.7,24.080000000000002,0.02408,4.88805e-05,0.3296,1.39528,0.51385017,1.51230418,-3.0283493
3456,1,1,band1_tier1,60,3,9,11,10,23,16,6,0.3,5.118,0.005118,1.12038e-05,0.07294,1.45277,0.86372594,2.20283645,-3.71853703
3923,1,1,band1_tier1,77,5,7,18,18,25,5,5,0.7,9.997,0.009997,3.40582e-05,0.3108,3.16915,0.71315572,1.15797333,-3.29451011
4514,1,1,band1_tier1,63,4,8,30,10,25,10,6,0.7,14.032,0.014032,2.43223e-05,0.2347,1.705,1.04036629,1.96877862,-4.0221637
4883,1,1,band1_tier1,60,4,6,17,17,24,11,11,0.4,10.559000000000001,0.010559,2.45528e-05,0.141,1.36122,0.41118352,1.42970026,-2.71191933
4966,1,1,band1_tier1,68,3,8,18,14,25,7,3,0.7,9.729,0.009729,2.57245e-05,0.1234,1.29294,0.66834118,2.08641394,-3.39495853
4986,1,1,band1_tier1,80,3,5,10,10,19,11,3,0.4,6.649,0.006649,2.82182e-05,0.09259,1.41951,0.90297844,2.51345082,-3.81864256
230,1,2,band1_tier2,60,6,6,21,21,21,15,3,0.7,13.947,0.013947,2.63614e-05,0.2959,2.16269,2.26271653,2.58094541,-5.04085649
370,1,2,band1_tier2,74,6,6,10,10,20,10,10,0.5,9.145999999999999,0.009146,3.02514e-05,0.175,1.95046,1.70453939,2.59699829,-4.58241104
538,1,2,band1_tier2,74,3,9,25,10,22,16,5,0.3,15.453,0.015453,3.58528e-05,0.2931,1.93345,1.80581248,2.40162602,-5.14896778
859,1,2,band1_tier2,65,3,11,12,12,20,13,3,0.6,6.021,0.006021,1.54308e-05,0.1065,1.80307,2.16480646,3.21053496,-5.07061122
906,1,2,band1_tier2,60,4,8,30,17,16,15,8,0.7,13.706,0.013706,2.36606e-05,0.3099,2.30485,1.77617935,2.2578804,-4.84441562
1178,1,2,band1_tier2,79,3,11,23,16,20,3,2,0.7,10.571,0.010571,3.366e-05,0.1744,1.68175,1.49256828,3.09879033,-4.4799665
1246,1,2,band1_tier2,69,3,10,29,10,24,13,13,0.6,14.687999999999999,0.014688,3.5484e-05,0.3261,2.26318,2.79008536,2.91273038,-5.83941152
1394,1,2,band1_tier2,72,6,6,30,15,18,15,11,0.5,26.827,0.026827,6.22209e-05,0.6262,2.37942,1.79058116,2.12946216,-4.92231289
1580,1,2,band1_tier2,79,6,5,30,11,22,15,3,0.5,30.193,0.030193,7.18365e-05,0.5164,1.74346,1.84181193,2.72065017,-5.0413192
1696,1,2,band1_tier2,69,5,7,21,12,24,7,7,0.5,11.254,0.011254,2.60578e-05,0.2271,2.05703,1.6027128,2.50067121,-4.44284334
1699,1,2,band1_tier2,64,6,6,11,10,20,11,3,0.7,6.3790000000000004,0.006379,1.54996e-05,0.1242,1.98472,1.84921134,2.8972972,-4.44698263
1775,1,2,band1_tier2,68,5,5,18,18,19,14,14,0.6,18.946,0.018946,5.98645e-05,0.318,1.71096,2.47502165,3.30672842,-5.71382509
1900,1,2,band1_tier2,60,6,6,13,10,19,19,12,0.3,10.51,0.01051,2.09004e-05,0.2493,2.41797,2.78640115,2.91675845,-5.41939852
1978,1,2,band1_tier2,74,5,7,15,12,19,18,2,0.3,10.907,0.010907,2.96982e-05,0.2815,2.6309,2.27938674,2.8699651,-4.95650413
