config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_aero_m,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,4500.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.3101,0.003646,1.71814,1.75782,1.58472111,0.51992797,2.5013116,0.44185997,1.33437034,-5.34414828,2898.25732929
1,False,False,4500.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,,
2,True,True,4500.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,0.6808,0.01536,7.23823,2.51875,1.492481,0.50687691,1.75370682,0.32907043,2.07123706,-5.21874223,2099.4883052
3,True,True,4500.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,0.4939,0.006073,2.86183,2.40934,3.7901674,0.83197669,3.4422942,0.50377789,2.57117938,-7.73507782,2303.87169244
4,True,False,4500.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.07467,0.001522,0.71723,0.52686,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
5,True,True,4500.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.28,0.004917,2.31708,1.40452,0.64681656,0.3872238,1.63230852,0.37860689,0.77720351,-3.4966495,3242.28090167
6,True,True,4500.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.2278,0.007335,3.45654,1.28085,0.08550554,0.30780387,0.64873447,0.14717278,0.2531958,-1.29207586,3540.98593726
7,True,True,4500.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.2259,0.002788,1.31381,1.4695,0.72745458,0.39863327,1.91929697,0.39336832,0.7698989,-3.6838455,3392.92418375
8,True,True,4500.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.4583,0.01599,7.53511,2.31679,0.97392855,0.43350689,1.4580904,0.24945759,1.56730402,-4.23407987,2167.97142918
9,True,False,4500.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.1211,0.005498,2.59087,0.62205,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
10,True,True,4500.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.4648,0.008877,4.18319,1.73026,0.86003291,0.41739179,1.54721595,0.32242312,1.1886707,-4.04072643,2673.8414941
11,True,True,4500.0,0.03222607,8.411298851052964e-05,0.0088584,0.001928457687290612,0.4781,0.006041,2.84675,1.51232,1.41088959,0.49533253,2.57125843,0.55995986,1.10172926,-5.11517842,3241.07923848
12,True,True,4500.0,0.00976235,3.3988460143788375e-05,0.0041155,0.0017016328079049702,0.135,0.006929,3.26521,1.40965,0.13046265,0.31416485,0.73073404,0.16491081,0.35370816,-1.58771217,3292.3795896
13,True,True,4500.0,0.02179028,5.174919677395116e-05,0.006902400000000001,0.0016969474460618956,0.677,0.009927,4.67799,3.16706,5.00629567,1.00404675,3.65966091,0.4288917,3.34306075,-8.74100312,1826.45940828
14,True,False,4500.0,0.02041978,4.700266621036365e-05,0.0057728,0.0015452705929900998,0.08126,0.01188,5.59832,0.40565,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
15,True,True,4500.0,0.00615075,1.457128368491114e-05,0.002695,0.001316196766232148,0.07796,0.0009164,0.43184,1.29204,0.37165102,0.34829061,1.57888125,0.40393449,0.45110001,-2.62957562,3691.52120785
16,True,True,4500.0,0.01981354,6.157760503821192e-05,0.0050634,0.0016683803079049699,0.2886,0.002944,1.38733,1.48479,1.64148526,0.52795953,3.23617803,0.66716324,1.02321825,-5.42078063,3400.61689353
17,True,True,4500.0,0.02045504,4.1849380610149936e-05,0.006112799999999999,0.0017582584185128554,0.3055,0.007593,3.57812,1.52245,0.39236975,0.3512221,1.1285806,0.22418616,0.71371426,-2.74335187,2974.09133811
18,True,True,4500.0,0.00861037,1.665607781060824e-05,0.004054800000000001,0.0013286168868465063,0.1003,0.002117,0.99761,1.18744,0.05339679,0.3032608,0.60022467,0.14537878,0.16366855,-1.02070021,3835.26955266
19,True,True,4500.0,0.01156699,3.9673999931320014e-05,0.004085999999999999,0.00178830155790497,0.3056,0.003713,1.74971,2.69317,5.52136943,1.07692457,5.03874155,0.66260789,2.51593392,-8.02282551,2215.36489935
20,True,False,4500.0,0.02161687,4.040390597095138e-05,0.0072510000000000005,0.0014838678517613778,0.1366,0.003146,1.48252,0.64415,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
21,True,False,4500.0,0.03206191,9.198284660186628e-05,0.008628,0.002198870428519331,0.2977,0.005075,2.39154,0.9465,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
22,True,True,4500.0,0.00694293,1.8578505082591417e-05,0.0025573500000000003,0.0013936541017613778,0.2515,0.002596,1.22334,3.69255,7.26681161,1.32388728,5.26267056,1.01557234,3.49418018,-7.8978445,1767.38411105
23,True,True,4500.0,0.02505909,6.863134624901174e-05,0.005998,0.001860638334218816,0.3394,0.01133,5.33914,1.38063,0.24380353,0.33020146,0.97848047,0.24596952,0.4910362,-2.17382001,3257.12733818
24,True,True,4500.0,0.01599245,3.7179006059370905e-05,0.004847499999999999,0.001517450954833174,0.1996,0.003344,1.57582,1.27226,0.19954975,0.32393999,1.07521903,0.3222727,0.35453335,-1.96611129,3662.4975336
25,True,False,4500.0,0.01419958,3.348953584960668e-05,0.004931400000000001,0.0017028487399183036,0.1008,0.002426,1.14323,0.72363,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
26,True,True,4500.0,0.01990822,3.233937523562633e-05,0.0053125,0.0014966256368465062,0.1996,0.002063,0.97217,1.02202,0.00088436,0.29583081,0.17472053,0.0509236,0.00725479,-0.13172109,4395.69448648
27,True,False,4500.0,0.02144935,6.372589354133613e-05,0.0068249999999999995,0.0019540586960618955,0.09585,0.002446,1.15265,0.45552,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
28,False,False,4500.0,0.00813815,1.740171779420615e-05,0.003443999999999999,0.001357338016232148,,,,,,,,,,,
29,True,True,4500.0,0.0287498,8.354777683111611e-05,0.007959,0.002068655187290612,0.6658,0.008725,4.11156,2.3607,5.29067034,1.04428294,4.24903167,0.64609858,2.82734266,-9.01126853,2334.7757149
30,True,True,4500.0,0.00988575,3.1192938632052267e-05,0.0046932,0.0016019938166762539,0.4262,0.005046,2.37787,4.39476,4.78301216,0.97245435,3.95641835,0.36735875,3.49810967,-7.63104002,1680.48774289
31,True,False,4500.0,0.02761259,7.216580452561445e-05,0.008128800000000002,0.0020424647048331744,0.2416,0.003485,1.64227,0.89191,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
32,True,True,4500.0,0.02224256,4.86662747591102e-05,0.006716000000000001,0.001526786963604458,0.3276,0.006966,3.28265,1.50138,0.42048058,0.35519951,1.25438613,0.2909807,0.67140719,-2.84453635,3136.73138097
33,True,False,4500.0,0.01042415,3.3238165147182614e-05,0.0040944,0.0018839374460618958,0.006627,0.003048,1.43634,0.0648,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
34,False,False,4500.0,0.00515541,1.7736506329730948e-05,0.0019755,0.0012707854723757388,,,,,,,,,,,
35,True,False,4500.0,0.04221502,0.000133799759454,0.010344000000000002,0.0028192456779826715,0.3651,0.005974,2.81518,0.88161,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
36,True,True,4500.0,0.00890209,2.77823968017186e-05,0.0028403999999999994,0.001468253334218816,0.1573,0.001542,0.72665,1.80122,2.51283904,0.65124743,3.97585551,0.551799,1.3546891,-6.14626,3031.05681042
37,True,False,4500.0,0.01607505,3.586433728569302e-05,0.0033324,0.0014672287399183038,0.1196,0.001188,0.55983,0.75842,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
38,True,True,4500.0,0.01097769,2.9727633637440265e-05,0.0037752,0.0015004724460618956,0.1645,0.002216,1.04427,1.52752,0.91168726,0.42470037,2.2209794,0.43037636,0.8330411,-4.05784264,3300.9311408
39,True,True,4500.0,0.0058257,1.6038450684726285e-05,0.0018945,0.0013202661193039427,0.09717,0.0009848,0.46408,1.70026,2.13008578,0.59709165,3.429841,0.63976574,1.30355019,-5.54291071,3079.57533777
40,True,False,4500.0,0.02146992,6.097347745005274e-05,0.0061704,0.00200904155790497,0.115,0.002402,1.13192,0.54601,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
41,True,True,4500.0,0.00647946,1.670858635733682e-05,0.00323875,0.0013089161193039428,0.09033,0.001488,0.7012,1.4211,0.36172091,0.3468856,1.39678678,0.31572031,0.5189518,-2.59976384,3457.12141062
42,True,True,4500.0,0.01465084,3.936965518086658e-05,0.0047504,0.0015000119636044578,0.2273,0.002935,1.38309,1.5815,0.88917982,0.42151579,2.02214962,0.35198629,0.92183759,-4.05192502,3230.24073223
43,True,True,4500.0,0.01051616,2.406965152691511e-05,0.004314000000000001,0.0014835622486895834,0.1386,0.001791,0.84399,1.3435,0.36459724,0.34729257,1.43804249,0.29466747,0.49832751,-2.62890006,3575.63915612
44,True,True,4500.0,0.01097911,2.2304098193296585e-05,0.0035700000000000003,0.0013898771280752252,0.1962,0.002188,1.03107,1.82164,2.08422642,0.590603,2.89489204,0.54871918,1.52986467,-5.86631572,2813.81513621
45,True,False,4500.0,0.0117219,2.2215280545106745e-05,0.004680000000000001,0.0013818184986895835,0.08975,0.002629,1.23889,0.78049,0.0,0.29570568,0.0,0.0,0.0,0.0,4500.0
46,True,True,4500.0,0.00695173,2.580578517832401e-05,0.0021922499999999998,0.0015121960754475349,0.2343,0.002824,1.33078,3.43566,8.57484792,1.50896142,6.19675107,1.84337295,3.39731062,-7.8431193,1797.85952571
47,True,True,4500.0,0.01655154,4.026937609502443e-05,0.004243200000000001,0.001508471601761378,0.3413,0.003708,1.74735,2.10198,3.85380884,0.84098132,3.74532401,0.62307727,2.31097127,-7.7612584,2575.54017994
48,True,True,4500.0,0.01353067,4.7200318062677096e-05,0.0035606,0.002052058794067988,0.2994,0.004827,2.27467,2.25561,4.90639765,0.98991217,4.26046125,0.82288688,2.56669935,-7.79629682,2358.17748259
49,True,True,4500.0,0.0210868,6.107840144324974e-05,0.006360000000000001,0.001730342928519331,0.9021,0.01201,5.65958,4.36089,7.30139724,1.32878081,4.43553393,0.46953409,4.51256524,-9.91431071,1544.00776545
