config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,5000.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.3832,0.004426,2.31745,2.17219,2.90395186,3.2477619,0.51247587,1.99924313,-6.98961549,2803.90573772
1,False,False,5000.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,
2,True,True,5000.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,0.8427,0.01841,9.63945,3.11773,1.98355577,1.90843417,0.27802214,2.67047115,-5.94620053,2034.56675219
3,True,True,5000.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,0.6102,0.007432,3.89139,2.97667,5.24635564,3.94192446,0.57031719,3.31348711,-8.74774004,2243.46111641
4,True,False,5000.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.09249,0.00176,0.92153,0.6526,0.0,0.0,0.0,0.0,0.0,5000.0
5,True,True,5000.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.3465,0.005887,3.08243,1.73809,1.95605105,2.5485563,0.56874205,1.60260933,-5.85992043,3043.57451893
6,True,True,5000.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.2822,0.008686,4.54798,1.58672,0.32220421,1.03671427,0.25533788,0.64294492,-2.4913693,3314.12600488
7,True,True,5000.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.2792,0.003321,1.73887,1.81622,1.45558957,2.48043766,0.42704589,1.30535711,-5.0832652,3323.80178949
8,True,True,5000.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.568,0.01897,9.93267,2.87134,1.38591816,1.63868609,0.23653825,2.11792324,-4.98420451,2085.54934429
9,True,False,5000.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.15,0.006388,3.34475,0.7705,0.0,0.0,0.0,0.0,0.0,5000.0
10,True,True,5000.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.5752,0.0107,5.60251,2.14123,1.54737151,1.89093599,0.40157046,1.87742522,-5.34988135,2534.528924
11,True,True,5000.0,0.03222607,8.411298851052964e-05,0.0088584,0.001928457687290612,0.5909,0.007306,3.82541,1.86912,3.25055239,3.68954523,0.64225573,1.88007454,-7.49014655,3129.72590955
12,True,True,5000.0,0.00976235,3.3988460143788375e-05,0.0041155,0.0017016328079049702,0.1674,0.008093,4.23748,1.74796,0.34587811,1.0396004,0.19404454,0.70990087,-2.55299085,3120.37431058
13,True,True,5000.0,0.02179028,5.174919677395116e-05,0.006902400000000001,0.0016969474460618956,0.8368,0.01209,6.33031,3.91462,6.31964532,4.06717717,0.39233666,4.03385237,-9.52048018,1777.19685499
14,True,False,5000.0,0.02041978,4.700266621036365e-05,0.0057728,0.0015452705929900998,0.1012,0.01401,7.33562,0.5052,0.0,0.0,0.0,0.0,0.0,5000.0
15,True,True,5000.0,0.00615075,1.457128368491114e-05,0.002695,0.001316196766232148,0.09639,0.001087,0.56915,1.59748,1.19193436,2.57983638,0.42373809,0.9567592,-4.44866087,3588.19566059
16,True,True,5000.0,0.01981354,6.157760503821192e-05,0.0050634,0.0016683803079049699,0.3565,0.003561,1.86454,1.83412,3.69767313,4.69927194,0.68617409,1.68259934,-7.69752968,3315.97698884
17,True,True,5000.0,0.02045504,4.1849380610149936e-05,0.006112799999999999,0.0017582584185128554,0.3789,0.009007,4.71605,1.88823,0.90043113,1.51000059,0.33503612,1.30864192,-4.09590407,2774.24501438
18,True,True,5000.0,0.00861037,1.665607781060824e-05,0.004054800000000001,0.0013286168868465063,0.1241,0.002501,1.30952,1.4692,0.29891109,1.11896555,0.24420564,0.53557425,-2.38454719,3631.05027045
19,True,True,5000.0,0.01156699,3.9673999931320014e-05,0.004085999999999999,0.00178830155790497,0.3779,0.004408,2.30802,3.33033,7.79509049,6.00443083,0.99460323,3.10926805,-8.69561279,2136.94853353
20,True,False,5000.0,0.02161687,4.040390597095138e-05,0.0072510000000000005,0.0014838678517613778,0.169,0.003732,1.95407,0.79694,0.0,0.0,0.0,0.0,0.0,5000.0
21,True,True,5000.0,0.03206191,9.198284660186628e-05,0.008628,0.002198870428519331,0.3682,0.006027,3.15573,1.17065,0.17722711,1.17430605,0.29761103,0.27381228,-1.85710203,4348.58664408
22,True,True,5000.0,0.00694293,1.8578505082591417e-05,0.0025573500000000003,0.0013936541017613778,0.3108,0.003154,1.65143,4.5632,9.47860212,6.02810697,1.46701126,4.16657512,-8.18234222,1701.75989227
23,True,True,5000.0,0.02505909,6.863134624901174e-05,0.005998,0.001860638334218816,0.4206,0.01343,7.03193,1.71094,0.73343395,1.45573133,0.31659879,1.06136877,-3.72487585,3023.82055994
24,True,True,5000.0,0.01599245,3.7179006059370905e-05,0.004847499999999999,0.001517450954833174,0.2469,0.00393,2.05774,1.57375,0.68567109,1.69374836,0.35189828,0.83473357,-3.58887543,3522.14997652
25,True,False,5000.0,0.01419958,3.348953584960668e-05,0.004931400000000001,0.0017028487399183036,0.1248,0.002811,1.47184,0.89592,0.0,0.0,0.0,0.0,0.0,5000.0
26,True,True,5000.0,0.01990822,3.233937523562633e-05,0.0053125,0.0014966256368465062,0.2469,0.002483,1.3001,1.26421,0.42937716,1.58052821,0.41262424,0.50871923,-2.87119943,4056.92039025
27,True,False,5000.0,0.02144935,6.372589354133613e-05,0.0068249999999999995,0.0019540586960618955,0.1186,0.002866,1.50063,0.56364,0.0,0.0,0.0,0.0,0.0,5000.0
28,False,False,5000.0,0.00813815,1.740171779420615e-05,0.003443999999999999,0.001357338016232148,,,,,,,,,,
29,True,True,5000.0,0.0287498,8.354777683111611e-05,0.007959,0.002068655187290612,0.8229,0.0106,5.55015,2.91772,8.02668543,5.16778258,0.67214346,3.68101208,-10.46100133,2251.36493296
30,True,True,5000.0,0.00988575,3.1192938632052267e-05,0.0046932,0.0016019938166762539,0.5268,0.006123,3.206,5.43209,5.53596517,4.19183215,0.32504706,4.09118197,-7.93891306,1655.07024715
31,True,True,5000.0,0.02761259,7.216580452561445e-05,0.008128800000000002,0.0020424647048331744,0.2988,0.004154,2.17503,1.10307,0.06575116,0.84954344,0.3035288,0.13550387,-1.13392877,4568.61228988
32,True,True,5000.0,0.02224256,4.86662747591102e-05,0.006716000000000001,0.001526786963604458,0.4053,0.008326,4.35948,1.85747,0.93512227,1.6736544,0.34307199,1.21046905,-4.19237532,2996.28323047
33,True,False,5000.0,0.01042415,3.3238165147182614e-05,0.0040944,0.0018839374460618958,0.008206,0.003546,1.85668,0.08025,0.0,0.0,0.0,0.0,0.0,5000.0
34,False,False,5000.0,0.00515541,1.7736506329730948e-05,0.0019755,0.0012707854723757388,,,,,,,,,,
35,True,True,5000.0,0.04221502,0.000133799759454,0.010344000000000002,0.0028192456779826715,0.4515,0.007117,3.72645,1.09024,0.05639576,0.81655176,0.23337851,0.11901088,-1.05056262,4608.88113924
36,True,True,5000.0,0.00890209,2.77823968017186e-05,0.0028403999999999994,0.001468253334218816,0.1944,0.001846,0.96656,2.22605,4.23234536,5.10493787,0.57136042,1.8692306,-7.33600915,2963.19704763
37,True,False,5000.0,0.01607505,3.586433728569302e-05,0.0033324,0.0014672287399183038,0.1478,0.001403,0.73461,0.93724,0.0,0.0,0.0,0.0,0.0,5000.0
38,True,True,5000.0,0.01097769,2.9727633637440265e-05,0.0037752,0.0015004724460618956,0.2033,0.002655,1.39015,1.88781,1.94309815,3.10679992,0.42965621,1.34872999,-5.66106016,3213.3416243
39,True,True,5000.0,0.0058257,1.6038450684726285e-05,0.0018945,0.0013202661193039427,0.1201,0.001168,0.61156,2.10148,3.85628015,4.55481419,0.6607652,1.88838804,-6.66775286,2991.60263307
40,True,False,5000.0,0.02146992,6.097347745005274e-05,0.0061704,0.00200904155790497,0.1423,0.002777,1.45403,0.67562,0.0,0.0,0.0,0.0,0.0,5000.0
41,True,True,5000.0,0.00647946,1.670858635733682e-05,0.00323875,0.0013089161193039428,0.1117,0.001769,0.92625,1.7573,0.82033344,1.93030473,0.3376265,0.92263037,-3.79795913,3374.95352281
42,True,True,5000.0,0.01465084,3.936965518086658e-05,0.0047504,0.0015000119636044578,0.2809,0.003515,1.84045,1.95443,1.59657437,2.52288072,0.38447375,1.43079817,-5.30233202,3166.48376386
43,True,True,5000.0,0.01051616,2.406965152691511e-05,0.004314000000000001,0.0014835622486895834,0.1714,0.002136,1.11841,1.66144,0.93155824,2.04406397,0.39145972,0.97505526,-4.0927042,3484.51851765
44,True,True,5000.0,0.01097911,2.2304098193296585e-05,0.0035700000000000003,0.0013898771280752252,0.2426,0.002624,1.37392,2.25245,3.77930983,3.81279092,0.65416392,2.20989982,-7.39277872,2708.42804347
45,True,False,5000.0,0.0117219,2.2215280545106745e-05,0.004680000000000001,0.0013818184986895835,0.1112,0.003081,1.61321,0.96703,0.0,0.0,0.0,0.0,0.0,5000.0
46,True,True,5000.0,0.00695173,2.580578517832401e-05,0.0021922499999999998,0.0015121960754475349,0.2898,0.003354,1.75615,4.24949,11.02427804,7.07654401,2.3421594,4.0480277,-8.01819118,1721.88753359
47,True,True,5000.0,0.01655154,4.026937609502443e-05,0.004243200000000001,0.001508471601761378,0.4217,0.004521,2.36719,2.59714,5.53695984,4.38190609,0.62735402,3.03790694,-8.87819247,2513.70045549
48,True,True,5000.0,0.01353067,4.7200318062677096e-05,0.0035606,0.002052058794067988,0.3703,0.005758,3.01488,2.78975,7.63348218,5.31227789,0.98823359,3.36945264,-8.70814809,2250.03403648
49,True,True,5000.0,0.0210868,6.107840144324974e-05,0.006360000000000001,0.001730342928519331,1.115,0.0147,7.6969,5.39008,8.79297325,4.80701987,0.43360134,5.32448314,-10.50368371,1507.88541017
50,True,True,5000.0,0.0165728,4.7833027430704485e-05,0.005062499999999999,0.001838947084218816,0.22,0.002356,1.2336,1.35319,1.01010508,2.59402031,0.58884399,0.75820531,-4.28884138,3993.33313667
51,False,False,5000.0,0.0075733,2.668688604045045e-05,0.0032424999999999997,0.001600973575447535,,,,,,,,,,
52,True,False,5000.0,0.02126063,3.7624211503441975e-05,0.006360000000000001,0.0015477780162321483,0.1441,0.003173,1.66138,0.69091,0.0,0.0,0.0,0.0,0.0,5000.0
53,False,False,5000.0,0.01621796,4.467376320253474e-05,0.0055320000000000005,0.001582497687290612,,,,,,,,,,
54,True,True,5000.0,0.00747894,2.3486564597551432e-05,0.00339,0.001479191722375739,0.3677,0.003839,2.0101,5.01169,3.81074618,3.40624558,0.25408263,3.5746966,-6.85236383,1831.08125406
55,True,False,5000.0,0.03253022,7.555716770235577e-05,0.005844,0.0018645233342188161,0.04424,0.001962,1.0273,0.13863,0.0,0.0,0.0,0.0,0.0,5000.0
56,True,True,5000.0,0.02375774,6.163299969300536e-05,0.004041299999999999,0.001652895954833174,0.4917,0.005411,2.83319,2.10973,6.18358037,4.87061984,0.7962224,2.77710798,-9.59534553,2810.01313791
57,True,True,5000.0,0.0294238,9.156296442855792e-05,0.00742225,0.0023008027339042093,0.9257,0.02263,11.84904,3.20703,2.12737646,1.98497499,0.25973773,2.78906134,-6.11492359,2004.98109308
58,True,True,5000.0,0.00503944,1.2557338857193568e-05,0.00242,0.0011995005162321482,0.1488,0.001287,0.67387,3.0099,5.99290674,5.88020369,1.25986109,2.40311026,-7.22654528,2392.13715689
59,True,True,5000.0,0.00852949,2.989912431664957e-05,0.0029487999999999997,0.0016413924460618957,0.1979,0.002092,1.09537,2.36512,6.52989049,6.03418253,1.49423151,2.43345082,-7.85792198,2748.60021936
60,True,True,5000.0,0.03700941,8.129130582568939e-05,0.009018,0.002036794222375739,0.5826,0.007598,3.9783,1.60468,1.84661062,2.72253761,0.61818373,1.39167154,-5.81887039,3382.32386788
61,True,True,5000.0,0.01187038,4.258049695316335e-05,0.0031619999999999994,0.0017747780073359364,0.6714,0.008117,4.25005,5.76564,8.1547272,5.07133952,0.34636045,5.01449028,-8.86279634,1542.31496918
62,True,True,5000.0,0.00799008,2.135028602798748e-05,0.0028070000000000005,0.001366012851761378,0.2667,0.002655,1.39015,3.40254,7.07609844,5.71714691,0.83204057,3.01249795,-8.27537948,2138.41779198
63,True,True,5000.0,0.01061372,2.4181558039623904e-05,0.0036300000000000004,0.0014368873693039429,0.2702,0.00288,1.50796,2.59507,4.97289581,4.41816441,0.64702454,2.60013583,-8.00855326,2509.07276669
64,True,True,5000.0,0.00694602,1.646214996870108e-05,0.0030239999999999998,0.0011978434986895834,0.0927,0.004884,2.55726,1.36043,0.06758026,0.53677325,0.15880884,0.24668151,-1.14698184,3740.57179155
65,True,True,5000.0,0.01810191,4.028976505199883e-05,0.003582,0.0017196398391595901,0.2124,0.00201,1.05243,1.19608,0.38372218,1.71351183,0.45992853,0.40700759,-2.71048224,4301.99445163
66,True,True,5000.0,0.00954974,2.688453789276389e-05,0.00369125,0.001625719101761378,0.1576,0.002181,1.14197,1.68227,1.00643855,2.09599727,0.39653495,1.03604069,-4.19911989,3452.48884238
67,True,True,5000.0,0.00674426,1.912286230372976e-05,0.002678,0.0014984137399183036,0.3027,0.004053,2.12215,4.57519,7.36640763,4.91740011,1.02611733,3.99131541,-7.636255,1542.8293958
68,True,True,5000.0,0.0363392,9.511818406317566e-05,0.006241600000000002,0.00244967439166235,0.4329,0.004448,2.32897,1.21435,0.61262608,2.06628769,0.52240543,0.54742735,-3.41925788,4228.68844168
69,True,True,5000.0,0.02923717,7.148710362906947e-05,0.00652375,0.0020441330929900996,0.3678,0.004803,2.51484,1.28235,0.61548137,1.88783686,0.56072248,0.62022473,-3.42524386,4027.9622159
70,True,True,5000.0,0.00843593,2.383522507183963e-05,0.004110599999999999,0.0015095030929900997,0.4407,0.004884,2.55726,5.32526,6.78634838,4.83709864,0.39892649,4.09595231,-8.0949725,1590.17402182
71,True,True,5000.0,0.01355884,3.754619348543036e-05,0.004736,0.001762661963604458,0.168,0.002109,1.10427,1.26304,0.41195934,1.76118825,0.43250455,0.44217511,-2.79246995,4190.63505964
72,True,True,5000.0,0.01072436,2.972428202807461e-05,0.003961,0.0016770720842188159,0.1834,0.002048,1.07233,1.74325,1.92799302,3.36283318,0.56196874,1.21385037,-5.57550069,3411.64261136
73,True,True,5000.0,0.01481736,3.519587741776532e-05,0.0041129999999999995,0.001715742308316703,0.2105,0.002206,1.15506,1.44815,1.26241493,2.67168516,0.57244593,0.94096319,-4.74148399,3787.34890115
74,True,True,5000.0,0.0081043,2.06175869805514e-05,0.00262,0.0014510587399183036,0.1086,0.001786,0.93515,1.36598,0.53397416,1.6943819,0.41412427,0.61172678,-3.13524941,3867.89142584
75,True,False,5000.0,0.01726015,3.947141376521825e-05,0.006025999999999999,0.0015745994636044579,0.03172,0.004873,2.5515,0.18734,0.0,0.0,0.0,0.0,0.0,5000.0
76,False,False,5000.0,0.0118715,3.40677815654422e-05,0.0053714999999999995,0.001646363575447535,,,,,,,,,,
77,False,False,5000.0,0.01820595,5.343272877837132e-05,0.006312,0.001715116075447535,,,,,,,,,,
78,True,True,5000.0,0.01027416,3.286250559744887e-05,0.004038,0.0018168649460618956,0.3396,0.004187,2.19231,3.3694,4.07544366,3.57686176,0.41567548,2.96962401,-7.15261551,2133.81691095
79,True,True,5000.0,0.0165926,5.286016217840539e-05,0.00683,0.0017016429285193308,0.2255,0.0453,23.71902,1.38536,0.01575435,0.23736668,0.05123351,0.13132038,-0.55566555,3515.25550613
80,True,True,5000.0,0.032626,9.88006717534281e-05,0.006579999999999999,0.0023952607602180554,0.8302,0.01248,6.53451,2.59388,4.57808835,3.27716805,0.53175741,3.46536011,-8.4991434,2387.49821078
81,True,True,5000.0,0.00544653,1.2999751293459928e-05,0.00216,0.001315420516232148,0.08768,0.001107,0.57962,1.64101,1.26731987,2.54782959,0.48878662,1.03509551,-4.51388822,3483.47316527
82,True,True,5000.0,0.00627567,2.1120607686180003e-05,0.0026963999999999994,0.001411273334218816,0.1742,0.009358,4.89984,2.82956,0.51328402,0.99744429,0.18337143,1.28413951,-3.05394276,2097.99951548
